Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",1266,,E,$0,$240,$240,$0,$240
"",,Wherever found,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Darter, Niangua (Etheostoma nianguae) -",,,,,,
"",331,,T,"$145,000","$13,565","$158,565","$18,500","$177,065"
"",,Wherever found,,,,,,
"",,"Darter, Okaloosa (Etheostoma okaloosae) -",,,,,,
"",272,,T,"$17,000","$270,000","$287,000",$0,"$287,000"
"",,Wherever found,,,,,,
"",1257,"Darter, Pearl (Percina aurora) - Wherever found",T,$0,$678,$678,$0,$678
"",,"Darter, relict (Etheostoma chienense) -",,,,,,
"",798,,E,"$19,500",$0,"$19,500",$500,"$20,000"
"",,Wherever found,,,,,,
"",,"Darter, rush (Etheostoma phytophilum) -",,,,,,
"",1211,,E,"$2,500",$418,"$2,918",$0,"$2,918"
"",,Wherever found,,,,,,
"",,"Darter, slackwater (Etheostoma boschungi) -",,,,,,
"",1210,,T,"$3,000",$0,"$3,000",$0,"$3,000"
"",,Wherever found,,,,,,
"",940,"Darter, snail (Percina tanasi) - Wherever found",T,"$8,500","$1,127","$9,627","$3,000","$12,627"
"",,"Darter, vermilion (Etheostoma chermocki) -",,,,,,
"",1221,,E,"$2,500",$0,"$2,500",$0,"$2,500"
"",,Wherever found,,,,,,
"",,"Darter, watercress (Etheostoma nuchale) -",,,,,,
"",378,,E,"$134,500","$1,120","$135,620",$0,"$135,620"
"",,Wherever found,,,,,,
"",,"Darter, yellowcheek (Etheostoma moorei) -",,,,,,
"",884,,E,"$14,500",$0,"$14,500",$800,"$15,300"
"",,Wherever found,,,,,,
"",,Eulachon (Thaleichthys pacificus) - Southern,,,,,,
"",66,,T,$0,"$3,435,561","$3,435,561","$282,600","$3,718,161"
"",,DPS,,,,,,
"",,"Gambusia, Big Bend (Gambusia gaigei) -",,,,,,
"",1232,,E,"$1,000","$1,000","$2,000",$0,"$2,000"
"",,Wherever found,,,,,,
"",,"Gambusia, Clear Creek (Gambusia heterochir) -",,,,,,
"",1253,,E,"$1,000",$0,"$1,000",$0,"$1,000"
"",,Wherever found,,,,,,
"",,"Gambusia, Pecos (Gambusia nobilis) -",,,,,,
"",886,,E,"$5,250","$10,000","$15,250",$0,"$15,250"
"",,Wherever found,,,,,,
"",,"Gambusia, San Marcos (Gambusia georgei) -",,,,,,
"",1163,,E,"$5,000",$0,"$5,000",$0,"$5,000"
"",,Wherever found,,,,,,
"",,"Goby, tidewater (Eucyclogobius newberryi) -",,,,,,
"",161,,E,"$455,214","$311,972","$767,186",$0,"$767,186"
"",,Wherever found,,,,,,
"",209,"Grouper, Nassau (Epinephelus striatus) -",T,$0,"$510,951","$510,951",$0,"$510,951"
"",,"Logperch, Conasauga (Percina jenkinsi) -",,,,,,
"",1154,,E,$300,$0,$300,"$5,000","$5,300"
"",,Wherever found,,,,,,
"",,"Logperch, Roanoke (Percina rex) - Wherever",,,,,,
"",338,,E,"$142,000","$20,140","$162,140","$3,000","$165,140"
"",,found,,,,,,
"",,"Madtom, chucky (Noturus crypticus) -",,,,,,
"",1262,,E,$300,$0,$300,$0,$300
"",,Wherever found,,,,,,
Group Name,Rank,Species (50 CFR Part 17) Status,,FWS Total,Other Fed,,Federal Total,States Total,Species Total
"",,"Madtom, Neosho (Noturus placidus) -",,,,,,,
"",527,T,,"$61,158","$1,440",,"$62,598",$0,"$62,598"
"",,Wherever found,,,,,,,
"",,"Madtom, pygmy (Noturus stanauli) - Wherever",,,,,,,
"",685,E,,"$30,500",$311,,"$30,811",$0,"$30,811"
"",,found,,,,,,,
"",,"Madtom, Scioto (Noturus trautmani) -",,,,,,,
"",1251,E,,$0,"$1,030",,"$1,030",$0,"$1,030"
"",,Wherever found,,,,,,,
"",,"Madtom, smoky (Noturus baileyi) - Wherever",,,,,,,
"",1065,E,,$300,"$7,947",,"$8,247",$0,"$8,247"
"",,found,,,,,,,
"",,"Madtom, smoky (Noturus baileyi) - Tellico",,,,,,,
"",1253,EXPN,,"$1,000",$0,,"$1,000",$0,"$1,000"
"",,"River, TN",,,,,,,
"",,"Madtom, yellowfin (Noturus flavipinnis) -",,,,,,,
"",624,"Wherever found, except where listed as an T",,"$32,000","$8,157",,"$40,157",$0,"$40,157"
"",,experimental population,,,,,,,
"",,"Madtom, yellowfin (Noturus flavipinnis) -",,,,,,,
"",1210,U.S.A. (TN - specified portions of the French EXPN,,"$3,000",$0,,"$3,000",$0,"$3,000"
"",,Broad and Holston Rivers; see 17.84(e)(1)(iii)),,,,,,,
"",,"Minnow, Devils River (Dionda diaboli) -",,,,,,,
"",842,T,,"$2,500",$100,,"$2,600","$14,705","$17,305"
"",,Wherever found,,,,,,,
"",,"Minnow, loach (Tiaroga cobitis) - Wherever",,,,,,,
"",172,E,,"$48,000","$625,507",,"$673,507",$0,"$673,507"
"",,found,,,,,,,
"",,"Minnow, Rio Grande Silvery (Hybognathus",,,,,,,
"",44,"amarus) - Wherever found, except where listed E",,"$97,790","$6,731,846",,"$6,829,636",$0,"$6,829,636"
"",,as an experimental population,,,,,,,
"",,"Minnow, Rio Grande Silvery (Hybognathus",,,,,,,
"",1262,"amarus) - Rio Grande, from Little Box Canyon EXPN",,$0,$300,,$300,$0,$300
"",,to Amistad Dam,,,,,,,
"",,"Pikeminnow (=squawfish), Colorado",,,,,,,
"",59,"(Ptychocheilus lucius) - Wherever found, except E",,"$108,600","$3,925,294",,"$4,033,894","$83,248","$4,117,142"
"",,where listed as an experimental population,,,,,,,
"",,"Pikeminnow (=squawfish), Colorado",,,,,,,
"",980,(Ptychocheilus lucius) - Salt and Verde R. EXPN,,"$11,000",$0,,"$11,000",$0,"$11,000"
"",,"drainages, AZ",,,,,,,
"",,"Poolfish, Pahrump (Empetrichthys latos) -",,,,,,,
"",427,E,,"$94,894","$5,000",,"$99,894",$0,"$99,894"
"",,Wherever found,,,,,,,
"",,"Pupfish, Ash Meadows Amargosa (Cyprinodon",,,,,,,
"",381,E,,"$133,581",$0,,"$133,581",$0,"$133,581"
"",,nevadensis mionectes) - Wherever found,,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,Species Total
"",,"Pupfish, Comanche Springs (Cyprinodon",,,,,,,
"",1088,,E,"$2,500","$5,000",,"$7,500",$0,"$7,500"
"",,elegans) - Wherever found,,,,,,,
"",,"Pupfish, desert (Cyprinodon macularius) -",,,,,,,
"",437,,E,"$23,000","$74,055",,"$97,055",$0,"$97,055"
"",,Wherever found,,,,,,,
"",,"Pupfish, Devils Hole (Cyprinodon diabolis) -",,,,,,,
"",149,,E,"$506,463","$400,000",,"$906,463",$0,"$906,463"
"",,Wherever found,,,,,,,
"",,"Pupfish, Leon Springs (Cyprinodon bovinus) -",,,,,,,
"",1221,,E,"$2,500",$0,,"$2,500",$0,"$2,500"
"",,Wherever found,,,,,,,
"",,"Pupfish, Owens (Cyprinodon radiosus) -",,,,,,,
"",501,,E,"$24,024","$46,000",,"$70,024",$0,"$70,024"
"",,Wherever found,,,,,,,
"",,"Pupfish, Warm Springs (Cyprinodon nevadensis",,,,,,,
"",558,,E,"$53,479",$0,,"$53,479",$0,"$53,479"
"",,pectoralis) - Wherever found,,,,,,,
"",,"Rockfish, canary (Sebastes pinniger) - Puget",,,,,,,
"",267,,T,$0,"$5,330",,"$5,330","$303,200","$308,530"
"",,Sound - Georgia Basin DPS,,,,,,,
"",,"Rockfish, yelloweye (Sebastes ruberrimus) -",,,,,,,
"",127,,T,$0,"$727,751",,"$727,751","$303,200","$1,030,951"
"",,Puget Sound - Georgia Basin DPS,,,,,,,
"",,"Salmon, Atlantic (Salmo salar) - Gulf of Maine",,,,,,,
"",37,,E,"$2,434,963","$6,209,208",,"$8,644,171",$0,"$8,644,171"
"",,DPS,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",8,,T,"$391,488","$35,468,592",,"$35,860,080","$408,900","$36,268,980"
"",,tshawytscha) - Snake River fall-run ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",4,tshawytscha) - Snake River spring/summer-run,T,"$302,988","$55,493,134",,"$55,796,122","$1,175,000","$56,971,122"
"",,ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",13,tshawytscha) - Sacramento River winter-run,E,"$102,441","$21,878,718",,"$21,981,159",$0,"$21,981,159"
"",,ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",1,,T,"$213,546","$10,543,952",,"$10,757,498","$63,067,800","$73,825,298"
"",,tshawytscha) - Puget Sound ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",10,,T,"$754,988","$19,752,046",,"$20,507,034","$9,555,200","$30,062,234"
"",,tshawytscha) - Lower Columbia River ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",20,,T,"$80,988","$14,702,592",,"$14,783,580","$407,000","$15,190,580"
"",,tshawytscha) - Upper Willamette River ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",6,,E,"$157,909","$36,685,972",,"$36,843,881","$5,163,800","$42,007,681"
"",,tshawytscha) - Upper Columbia spring-run ESU,,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,,
"",17,,T,"$264,200","$18,172,587",,"$18,436,787",$0,"$18,436,787"
"",,tshawytscha) - Central Valley spring-run ESU,,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,
"",64,,T,$0,"$3,760,184","$3,760,184",$0,"$3,760,184"
"",,tshawytscha) - California Coastal ESU,,,,,,
"",,"Salmon, Chinook (Oncorhynchus (=Salmo)",,,,,,
"",1015,,EXPN,$0,"$9,700","$9,700",$0,"$9,700"
"",,tshawytscha) - Central Valley spring-run ESU,,,,,,
"",,"Salmon, chum (Oncorhynchus keta) - Columbia",,,,,,
"",25,,T,$800,"$12,015,363","$12,016,163","$706,000","$12,722,163"
"",,River ESU,,,,,,
"",,"Salmon, chum (Oncorhynchus keta) - Hood",,,,,,
"",40,,T,"$27,507","$4,593,564","$4,621,071","$2,996,400","$7,617,471"
"",,Canal summer-run ESU,,,,,,
"",,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)",,,,,,
"",29,,E,"$5,123","$10,750,215","$10,755,338",$0,"$10,755,338"
"",,- Central California Coast ESU,,,,,,
"",,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)",,,,,,
"",21,- Southern Oregon - Northern California Coast,T,"$319,725","$13,359,410","$13,679,135","$110,000","$13,789,135"
"",,ESU,,,,,,
"",,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)",,,,,,
"",34,,T,"$268,728","$6,967,459","$7,236,187","$1,912,000","$9,148,187"
"",,- Oregon Coast ESU,,,,,,
"",,"Salmon, coho (Oncorhynchus (=Salmo) kisutch)",,,,,,
"",18,,T,"$181,628","$14,454,702","$14,636,330","$3,268,600","$17,904,930"
"",,- Lower Columbia River ESU,,,,,,
"",,"Salmon, sockeye (Oncorhynchus (=Salmo)",,,,,,
"",11,,E,"$578,722","$24,052,804","$24,631,526","$223,300","$24,854,826"
"",,nerka) - Snake River ESU,,,,,,
"",,"Salmon, sockeye (Oncorhynchus (=Salmo)",,,,,,
"",54,,T,$0,"$4,669,228","$4,669,228","$230,300","$4,899,528"
"",,nerka) - Ozette Lake ESU,,,,,,
"",,"Sawfish, largetooth (Pristis pristis) - Wherever",,,,,,
"",1256,,E,$0,$700,$700,$0,$700
"",,found,,,,,,
"",,"Sawfish, smalltooth (Pristis pectinata) - US DPS",,,,,,
"",157,- Smalltooth sawfish originating from U.S.,E,$0,"$793,678","$793,678",$0,"$793,678"
"",,waters.,,,,,,
"",,"Sculpin, Grotto (Cottus specus) - Wherever",,,,,,
"",502,,E,"$27,900","$5,000","$32,900","$37,000","$69,900"
"",,found,,,,,,
"",,"Sculpin, pygmy (Cottus paulus (=pygmaeus)) -",,,,,,
"",1190,,T,"$3,500",$0,"$3,500",$0,"$3,500"
"",,Wherever found,,,,,,
"",,"Shark, Scalloped Hammerhead (Sphyrna lewini)",,,,,,
"",808,,RT,$0,$0,$0,"$19,500","$19,500"
"",,- Wherever found,,,,,,
"",,"Shark, Scalloped Hammerhead (Sphyrna lewini)",,,,,,
"",1006,,E,$0,"$9,902","$9,902",$0,"$9,902"
"",,- Eastern Pacific DPS,,,,,,
"",,"Shark, Scalloped Hammerhead (Sphyrna lewini)",,,,,,
"",1242,,T,$0,"$1,407","$1,407",$0,"$1,407"
"",,- Central and Southwest Atlantic DPS,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,,Federal Total,States Total,Species Total
"",,"Shark, Scalloped Hammerhead (Sphyrna lewini)",,,,,,,
"",1206,,T,$0,"$3,127",,"$3,127",$0,"$3,127"
"",,- Indo-West Pacific DPS,,,,,,,
"",,"Shiner, Arkansas River (Notropis girardi) -",,,,,,,
"",317,,T,"$140,986","$61,920",,"$202,906",$0,"$202,906"
"",,"Arkansas River Basin (AR, KS, NM, OK, TX)",,,,,,,
"",,"Shiner, beautiful (Cyprinella formosa) -",,,,,,,
"",980,,T,"$11,000",$0,,"$11,000",$0,"$11,000"
"",,Wherever found,,,,,,,
"",,"Shiner, blue (Cyprinella caerulea) - Wherever",,,,,,,
"",1101,,T,"$2,000",$0,,"$2,000","$5,000","$7,000"
"",,found,,,,,,,
"",,"Shiner, Cahaba (Notropis cahabae) - Wherever",,,,,,,
"",1200,,E,"$2,500",$805,,"$3,305",$0,"$3,305"
"",,found,,,,,,,
"",,"Shiner, Cape Fear (Notropis mekistocholas) -",,,,,,,
"",755,,E,"$16,000","$3,640",,"$19,640","$3,800","$23,440"
"",,Wherever found,,,,,,,
"",,"Shiner, palezone (Notropis albizonatus) -",,,,,,,
"",1151,,E,"$5,500",$0,,"$5,500",$0,"$5,500"
"",,Wherever found,,,,,,,
"",,"Shiner, Pecos bluntnose (Notropis simus",,,,,,,
"",89,,T,"$10,000","$2,010,750",,"$2,020,750",$0,"$2,020,750"
"",,pecosensis) - Wherever found,,,,,,,
"",,"Shiner, sharpnose (Notropis oxyrhynchus) -",,,,,,,
"",628,,E,"$25,500",$0,,"$25,500","$14,165","$39,665"
"",,Wherever found,,,,,,,
"",,"Shiner, smalleye (Notropis buccula) - Wherever",,,,,,,
"",628,,E,"$25,500",$0,,"$25,500","$14,165","$39,665"
"",,found,,,,,,,
"",,"Shiner, Topeka (Notropis topeka (=tristis)) -",,,,,,,
"",139,"Wherever found, except where listed as an",E,"$827,700","$116,432",,"$944,132","$10,300","$954,432"
"",,experimental population,,,,,,,
"",,"Silverside, Waccamaw (Menidia extensa) -",,,,,,,
"",1122,,T,"$3,000",$0,,"$3,000","$3,400","$6,400"
"",,Wherever found,,,,,,,
"",,"Smelt, delta (Hypomesus transpacificus) -",,,,,,,
"",14,,T,"$1,081,441","$19,724,428",,"$20,805,869",$0,"$20,805,869"
"",,Wherever found,,,,,,,
"",173,Spikedace (Meda fulgida) - Wherever found,E,"$46,000","$625,507",,"$671,507",$0,"$671,507"
"",,"Spinedace, Big Spring (Lepidomeda mollispinis",,,,,,,
"",1001,,T,"$3,803","$6,300",,"$10,103",$0,"$10,103"
"",,pratensis) - Wherever found,,,,,,,
"",,"Spinedace, Little Colorado (Lepidomeda",,,,,,,
"",612,,T,"$13,500","$28,575",,"$42,075",$0,"$42,075"
"",,vittata) - Wherever found,,,,,,,
"",,"Spinedace, White River (Lepidomeda albivallis)",,,,,,,
"",491,,E,"$72,416","$1,500",,"$73,916",$0,"$73,916"
"",,- Wherever found,,,,,,,
"",,"Springfish, Hiko White River (Crenichthys",,,,,,,
"",585,,E,"$24,295","$22,886",,"$47,181",$0,"$47,181"
"",,baileyi grandis) - Wherever found,,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Springfish, Railroad Valley (Crenichthys",,,,,,
"",463,,T,"$74,697","$11,500","$86,197",$0,"$86,197"
"",,nevadae) - Wherever found,,,,,,
"",,"Springfish, White River (Crenichthys baileyi",,,,,,
"",601,,E,"$29,116","$15,000","$44,116",$0,"$44,116"
"",,baileyi) - Wherever found,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",16,,T,"$65,024","$18,899,463","$18,964,487",$0,"$18,964,487"
"",,California Central Valley DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",3,,T,"$20,903","$57,148,406","$57,169,309","$1,056,000","$58,225,309"
"",,Snake River Basin DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",47,,T,$0,"$5,835,104","$5,835,104",$0,"$5,835,104"
"",,Central California Coast DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",15,,T,"$182,360","$16,154,762","$16,337,122","$2,704,400","$19,041,522"
"",,Lower Columbia River DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",68,,T,$0,"$3,653,700","$3,653,700",$0,"$3,653,700"
"",,South-Central California Coast DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",52,,E,$0,"$5,396,190","$5,396,190",$0,"$5,396,190"
"",,Southern California DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",9,,T,"$139,229","$29,601,351","$29,740,580","$2,741,600","$32,482,180"
"",,Upper Columbia River DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",27,,T,"$78,700","$11,984,400","$12,063,100","$421,000","$12,484,100"
"",,Upper Willamette River DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",2,,T,"$115,300","$59,631,969","$59,747,269","$1,865,400","$61,612,669"
"",,Middle Columbia River DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",39,,T,$0,"$7,689,200","$7,689,200",$0,"$7,689,200"
"",,Northern California DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",22,,T,"$66,001","$10,679,817","$10,745,818","$2,549,000","$13,294,818"
"",,Puget Sound DPS,,,,,,
"",,Steelhead (Oncorhynchus (=Salmo) mykiss) -,,,,,,
"",395,,EXPN,"$95,000","$4,550","$99,550","$26,200","$125,750"
"",,Middle Columbia River DPS,,,,,,
"",,"Stickleback, unarmored threespine",,,,,,
"",460,(Gasterosteus aculeatus williamsoni) -,E,"$78,425","$8,500","$86,925",$0,"$86,925"
"",,Wherever found,,,,,,
"",,"Sturgeon, Alabama (Scaphirhynchus suttkusi) -",,,,,,
"",639,,E,"$12,000","$26,022","$38,022",$0,"$38,022"
"",,Wherever found,,,,,,
"",,"Sturgeon, Atlantic (Acipenser oxyrinchus",,,,,,
"",122,,T,$0,"$1,072,614","$1,072,614",$0,"$1,072,614"
"",,oxyrinchus) - Gulf of Maine DPS,,,,,,
"",,"Sturgeon, Atlantic (Acipenser oxyrinchus",,,,,,
"",136,,E,$0,"$960,133","$960,133","$29,000","$989,133"
"",,oxyrinchus) - New York Bight DPS,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Sturgeon, Atlantic (Acipenser oxyrinchus",,,,,,
"",167,,E,"$110,000","$601,497","$711,497",$0,"$711,497"
"",,oxyrinchus) - Chesapeake Bay DPS,,,,,,
"",,"Sturgeon, Atlantic (Acipenser oxyrinchus",,,,,,
"",213,,E,$0,"$500,494","$500,494",$0,"$500,494"
"",,oxyrinchus) - Carolina DPS,,,,,,
"",,"Sturgeon, Atlantic (Acipenser oxyrinchus",,,,,,
"",192,,E,$0,"$501,030","$501,030","$75,000","$576,030"
"",,oxyrinchus) - South Atlantic DPS,,,,,,
"",,"Sturgeon, green (Acipenser medirostris) -",,,,,,
"",28,,T,"$2,100","$10,831,222","$10,833,322","$29,600","$10,862,922"
"",,Southern DPS,,,,,,
"",,"Sturgeon, Gulf (Acipenser oxyrinchus",,,,,,
"",55,,T,"$279,500","$4,527,886","$4,807,386","$20,000","$4,827,386"
"",,(=oxyrhynchus) desotoi) - Wherever found,,,,,,
"",,"Sturgeon, pallid (Scaphirhynchus albus) -",,,,,,
"",12,,E,"$1,416,200","$20,679,532","$22,095,732","$69,900","$22,165,632"
"",,Wherever found,,,,,,
"",,"Sturgeon, shortnose (Acipenser brevirostrum) -",,,,,,
"",100,,E,"$7,500","$1,373,084","$1,380,584","$137,500","$1,518,084"
"",,Wherever found,,,,,,
"",,"Sturgeon, Shovelnose (Scaphirhynchus",,,,,,
"",552,,SAT,$529,"$31,635","$32,164","$23,700","$55,864"
"",,platorynchus) - Wherever found,,,,,,
"",,"Sturgeon, white (Acipenser transmontanus) -",,,,,,
"",24,"U.S.A. (ID, MT), Canada (B.C.), Kootenai R.",E,"$278,112","$12,369,651","$12,647,763","$341,730","$12,989,493"
"",,system,,,,,,
"",,"Sucker, June (Chasmistes liorus) - Wherever",,,,,,
"",518,,E,"$14,000","$50,000","$64,000",$0,"$64,000"
"",,found,,,,,,
"",,"Sucker, Lost River (Deltistes luxatus) -",,,,,,
"",81,,E,"$620,776","$1,788,900","$2,409,676","$16,000","$2,425,676"
"",,Wherever found,,,,,,
"",,"Sucker, razorback (Xyrauchen texanus) -",,,,,,
"",23,,E,"$480,118","$12,311,856","$12,791,974","$217,932","$13,009,906"
"",,Wherever found,,,,,,
"",,"Sucker, Santa Ana (Catostomus santaanae) - 3",,,,,,
"",302,,T,"$163,606","$66,155","$229,761",$0,"$229,761"
"",,CA river basins,,,,,,
"",,"Sucker, shortnose (Chasmistes brevirostris) -",,,,,,
"",79,,E,"$615,679","$1,900,900","$2,516,579","$16,000","$2,532,579"
"",,Wherever found,,,,,,
"",,"Sucker, Warner (Catostomus warnerensis) -",,,,,,
"",223,,T,"$222,500","$156,780","$379,280","$82,000","$461,280"
"",,Wherever found,,,,,,
"",,"Sucker, Zuni bluehead (Catostomus discobolus",,,,,,
"",649,,E,"$2,500","$33,500","$36,000",$0,"$36,000"
"",,yarrowi) - Wherever found,,,,,,
"",,"Sunfish, spring pygmy (Elassoma alabamae) -",,,,,,
"",1258,,T,$500,$0,$500,$0,$500
"",,Wherever found,,,,,,
"",,"Topminnow, Gila (incl. Yaqui) (Poeciliopsis",,,,,,
"",171,,E,"$56,000","$623,580","$679,580",$0,"$679,580"
"",,occidentalis) - Wherever found,,,,,,
"",,Totoaba (seatrout or weakfish) (Cynoscion,,,,,,
"",592,,E,"$46,200",$0,"$46,200",$0,"$46,200"
"",,macdonaldi) - Wherever found,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",,"Trout, Apache (Oncorhynchus apache) -",,,,,,
"",583,,T,"$21,500","$26,000","$47,500",$0,"$47,500"
"",,Wherever found,,,,,,
"",,"Trout, bull (Salvelinus confluentus) - U.S.A.,",,,,,,
"",7,,T,"$7,335,866","$29,273,292","$36,609,158","$3,655,500","$40,264,658"
"",,"conterminous, lower 48 states",,,,,,
"",,"Trout, bull (Salvelinus confluentus) -",,,,,,
"",126,Clackamas River subbasin experimental,EXPN,"$606,500",$0,"$606,500","$447,600","$1,054,100"
"",,population,,,,,,
"",,"Trout, Gila (Oncorhynchus gilae) - Wherever",,,,,,
"",322,,T,"$99,000","$93,957","$192,957",$0,"$192,957"
"",,found,,,,,,
"",,"Trout, Greenback Cutthroat (Oncorhynchus",,,,,,
"",115,,T,"$441,500","$653,238","$1,094,738","$99,302","$1,194,040"
"",,clarkii stomias) - Wherever found,,,,,,
"",,"Trout, Lahontan cutthroat (Oncorhynchus",,,,,,
"",35,,T,"$5,946,849","$2,855,658","$8,802,507",$0,"$8,802,507"
"",,clarkii henshawi) - Wherever found,,,,,,
"",,"Trout, Little Kern golden (Oncorhynchus",,,,,,
"",631,,T,"$1,210","$37,813","$39,023",$0,"$39,023"
"",,aguabonita whitei) - Wherever found,,,,,,
"",,"Trout, Paiute cutthroat (Oncorhynchus clarkii",,,,,,
"",206,,T,"$505,327","$12,000","$517,327",$0,"$517,327"
"",,seleniris) - Wherever found,,,,,,
"",,"Tui chub, Mohave (Gila bicolor ssp.",,,,,,
"",493,,E,$726,"$72,063","$72,789",$0,"$72,789"
"",,mohavensis) - Wherever found,,,,,,
"",,Woundfin (Plagopterus argentissimus) -,,,,,,
"",287,"Wherever found, except where listed as an",E,"$65,317","$195,300","$260,617",$0,"$260,617"
"",,experimental population,,,,,,
Fishes subtotal,,,,"$32,952,611","$702,913,787","$735,866,398","$107,649,427","$843,515,825"
Clams,,"Acornshell, southern (Epioblasma",,,,,,
"",1231,,E,"$1,500",$542,"$2,042",$0,"$2,042"
"",,othcaloogensis) - Wherever found,,,,,,
"",,"Bankclimber, purple (mussel) (Elliptoideus",,,,,,
"",285,,T,"$162,000","$95,240","$257,240","$5,000","$262,240"
"",,sloatianus) - Wherever found,,,,,,
"",,"Bean, Choctaw (Villosa choctawensis) -",,,,,,
"",629,,E,"$4,000","$35,499","$39,499",$0,"$39,499"
"",,Wherever found,,,,,,
"",,"Bean, Cumberland (pearlymussel) (Villosa",,,,,,
"",555,trabalis) - Wherever found; Except where listed,E,"$32,500","$1,443","$33,943","$20,000","$53,943"
"",,as Experimental Populations,,,,,,
"",,"Bean, Cumberland (pearlymussel) (Villosa",,,,,,
"",,trabalis) - AL; Free-Flowing Reach of the,,,,,,
"",1222,,EXPN,$0,"$2,409","$2,409",$0,"$2,409"
"",,"Tennessee River below the Wilson Dam,",,,,,,
"",,"Colbert and Lauderdale Counties, AL",,,,,,
"",,"Bean, purple (Villosa perpurpurea) - Wherever",,,,,,
"",1091,,E,"$3,600","$3,816","$7,416",$0,"$7,416"
"",,found,,,,,,
Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,Other Fed,Federal Total,States Total,Species Total
"",539,"Bean, rayed (Villosa fabalis) - Wherever found",E,"$23,300","$29,888","$53,188","$6,166","$59,354"
"",,"Blossom, green (pearlymussel) (Epioblasma",,,,,,
"",1258,,E,$400,$100,$500,$0,$500
"",,torulosa gubernaculum) - Wherever found,,,,,,
"",,"Blossom, tubercled (pearlymussel) (Epioblasma",,,,,,
"",1205,torulosa torulosa) - Wherever found; Except,E,"$1,500","$1,631","$3,131",$0,"$3,131"
"",,where listed as Experimental Populations,,,,,,
"",,"Blossom, turgid (pearlymussel) (Epioblasma",,,,,,
"",1256,turgidula) - Wherever found; Except where,E,$700,$0,$700,$0,$700
"",,listed as Experimental Populations,,,,,,
"",,"Blossom, turgid (pearlymussel) (Epioblasma",,,,,,
"",,turgidula) - AL; Free-Flowing Reach of the,,,,,,
"",1265,,EXPN,$0,$250,$250,$0,$250
"",,"Tennessee River below the Wilson Dam,",,,,,,
"",,"Colbert and Lauderdale Counties, AL",,,,,,
"",,"Catspaw, white (pearlymussel) (Epioblasma",,,,,,
"",1086,,E,$500,$846,"$1,346","$6,166","$7,512"
"",,obliquata perobliqua) - Wherever found,,,,,,
"",,Clubshell (Pleurobema clava) - Wherever,,,,,,
"",404,found; Except where listed as Experimental,E,"$44,340","$30,683","$75,023","$45,391","$120,414"
"",,Populations,,,,,,
