Group Name,Rank,Species (50 CFR Part 17),Status,FWS Total,,Other Fed,,Federal Total,States Total,,Species Total
"",1040,"Mangabey, white-collared (Cercocebus torquatus) - Wherever found",E,"$12,500",$0,,"$12,500",$0,,"$12,500"
"",1040,"Monkey, black colobus (Colobus satanas) - Wherever found",E,"$12,500",$0,,"$12,500",$0,,"$12,500"
"",1426,"Monkey, Diana (Cercopithecus diana) - Wherever found",E,$0,$200,,$200,$0,,$200
"",,"Monkey, Preuss' red colobus (Procolobus (=Colobus) preussi (=badius",,,,,,,,
"",1040,,E,"$12,500",$0,,"$12,500",$0,,"$12,500"
"",,p.)) - Wherever found,,,,,,,,
"",,"Monkey, red-eared nose-spotted (Cercopithecus erythrotis) - Wherever",,,,,,,,
"",1040,,E,"$12,500",$0,,"$12,500",$0,,"$12,500"
"",,found,,,,,,,,
"",593,"Mountain beaver, Point Arena (Aplodontia rufa nigra) - Wherever found",E,"$56,100","$5,000",,"$61,100",$0,,"$61,100"
"",,"Mouse, Alabama beach (Peromyscus polionotus ammobates) - Wherever",,,,,,,,
"",449,,E,"$120,500","$13,907",,"$134,407",$0,,"$134,407"
"",,found,,,,,,,,
"",,"Mouse, Anastasia Island beach (Peromyscus polionotus phasma) -",,,,,,,,
"",499,,E,"$93,500",$700,,"$94,200","$1,115",,"$95,315"
"",,Wherever found,,,,,,,,
"",,"Mouse, Choctawhatchee beach (Peromyscus polionotus allophrys) -",,,,,,,,
"",485,,E,"$15,500","$81,474",,"$96,974","$8,916",,"$105,890"
"",,Wherever found,,,,,,,,
"",,"Mouse, Key Largo cotton (Peromyscus gossypinus allapaticola) -",,,,,,,,
"",943,,E,"$15,000","$1,829",,"$16,829",$0,,"$16,829"
"",,Wherever found,,,,,,,,
"",,"Mouse, New Mexico meadow jumping (Zapus hudsonius luteus) -",,,,,,,,
"",281,,E,"$90,813","$200,510",,"$291,323","$41,372",,"$332,695"
"",,Wherever found,,,,,,,,
"",,"Mouse, Pacific pocket (Perognathus longimembris pacificus) - Wherever",,,,,,,,
"",239,,E,"$70,840","$391,424",,"$462,264",$0,,"$462,264"
"",,found,,,,,,,,
"",,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis) -",,,,,,,,
"",640,,E,"$5,000","$39,420",,"$44,420","$7,802",,"$52,222"
"",,Wherever found,,,,,,,,
"",,"Mouse, Preble's meadow jumping (Zapus hudsonius preblei) - wherever",,,,,,,,
"",235,,T,"$51,658","$392,011",,"$443,669","$31,263",,"$474,932"
"",,found,,,,,,,,
"",,"Mouse, salt marsh harvest (Reithrodontomys raviventris) - wherever",,,,,,,,
"",144,,E,"$688,161","$284,900",,"$973,061",$0,,"$973,061"
"",,found,,,,,,,,
