Group,Status,Scientific Name,Inverted Common Name,FWS 2017,Other Fed 2017,States 2017,Total 2017,Area
Fishes,E,etheostoma phytophilum ,"darter, rush ",91500,0,0,91500, wherever found
Fishes,T,etheostoma nianguae ,"darter, niangua ",42500,15906,0,58406, wherever found
Fishes,T,percina tanasi ,"darter, snail ",87500,140867,14000,242367, wherever found
Fishes,E,etheostoma chermocki ,"darter, vermilion ",500,0,0,500, wherever found
Fishes,E,etheostoma nuchale ,"darter, watercress ",8500,1000,0,9500, wherever found
Fishes,E,etheostoma moorei ,"darter, yellowcheek ",11000,100,5600,16700, wherever found
Fishes,T,thaleichthys pacificus ,eulachon ,0,1592017,62187,1654204, southern dps
Fishes,E,gambusia heterochir ,"gambusia, clear creek ",1000,0,0,1000, wherever found
Fishes,T,etheostoma boschungi ,"darter, slackwater ",6500,0,17000,23500, wherever found
Fishes,E,gambusia gaigei ,"gambusia, big bend ",1500,5000,0,6500, wherever found
Flowering Plants,T,hymenoxys herbacea ,"daisy, lakeside ",3000,1859,0,4859, wherever found
Flowering Plants,T,erigeron parishii ,"daisy, parish's ",220,7600,0,7820, wherever found
Flowering Plants,E,erigeron decumbens ,"daisy, willamette ",92173,257696,0,349869, wherever found
Flowering Plants,E,thymophylla tephroleuca ,"dogweed, ashy ",1400,300,0,1700, wherever found
Flowering Plants,E,lomatium bradshawii ,"desert-parsley, bradshaw's ",260092,229796,0,489888, wherever found
Flowering Plants,E,oxypolis canbyi ,"dropwort, canby's ",87000,10410,15000,112410, wherever found
Flowering Plants,T,dudleya cymosa ssp. marcescens ,"dudleya, marcescent ",13684,0,0,13684, wherever found
Flowering Plants,T,dudleya abramsii ssp. parva ,"dudleya, conejo ",13651,0,0,13651, wherever found
Flowering Plants,E,hymenoxys texana ,"dawn-flower, texas prairie ",2000,5100,0,7100, wherever found
Flowering Plants,T,cycladenia humilis var. jonesii ,"cycladenia, jones ",3000,22550,500,26050, wherever found
Flowering Plants,E,trifolium stoloniferum ,"clover, running buffalo ",100998,67260,30784,199042, wherever found
Flowering Plants,T,verbesina dissita ,"crownbeard, big-leaved ",0,100,0,100, wherever found
Flowering Plants,T,coryphantha ramillosa ,"cory cactus, bunched ",0,1000,0,1000, wherever found
Flowering Plants,E,echinacea laevigata ,"coneflower, smooth ",26500,20970,5000,52470, wherever found
Flowering Plants,T,stahlia monosperma ,cobana negra ,18500,0,0,18500, wherever found
Flowering Plants,E,trifolium amoenum ,"clover, showy indian ",16500,1700,0,18200, wherever found
