Group,Status,Scientific Name,Inverted Common Name,FWS 2018,Other Fed 2018,States 2018,Total 2018,Area
Birds,E,halcyon cinnamomina cinnamomina ,"kingfisher, guam micronesian ",64511,59002,0,123513, wherever found
Birds,T,drepanis coccinea ,`i`iwi ,44660,107341,0,152001, wherever found
Birds,E,quail ,"bobwhite, masked ",353726,21400,0,375126,
Birds,E,loxops coccineus ,"akepa, hawaii ",142869,22610,0,165479, wherever found
Birds,E,loxops ochraceus ,"akepa, maui ",24696,186400,0,211096, wherever found
Birds,E,honeycreeper ,"akialoa, kauai ",19012,0,0,19012,
Birds,E,hemignathus wilsoni ,akiapolaau ,21610,104009,0,125619, wherever found
Birds,E,oreomystis bairdi ,akikiki ,42587,84489,0,127076, wherever found
Birds,E,fulica americana alai ,"coot, hawaiian ",113113,698397,0,811510, wherever found
Birds,E,phoebastria ,"albatross, short-tailed ",149311,1958,2000,153269,
Birds,PEXPN,gymnogyps californianus ,"condor, california ",78318,0,0,78318, pacific northwest nep
Birds,EXPN,gymnogyps californianus ,"condor, california ",86097,43130,0,129227, u.s.a. 
Birds,E,gymnogyps californianus ,"condor, california ",3346481,741632,0,4088113," u.s.a. only, except where listed as an experimental population"
Birds,T,polyborus plancus audubonii ,"caracara, audubon's crested ",247500,9407913,0,9655413, fl pop.
Birds,E,agelaius xanthomus ,"blackbird, yellow-shouldered ",18000,250,0,18250, wherever found
Birds,E,loxops caeruleirostris ,akekee ,158581,74489,0,233070, wherever found
Birds,E,kamao ,"thrush, large kauai ",104441,0,0,104441,
Birds,E,grus americana ,"crane, whooping ",412802,222811,9400,645013," wherever found, except where listed as an experimental population"
Birds,E,akohekohe crested ,"honeycreeper, ",18135,105000,0,123135,
Birds,E,accipiter striatus venator ,"hawk, puerto rican sharp-shinned ",117000,22750,0,139750, wherever found
Birds,E,buteo platypterus brunnescens ,"hawk, puerto rican broad-winged ",15500,250,0,15750, wherever found
Birds,E,'lo ,"hawk, hawaiian ",104674,198200,0,302874,
Birds,E,gallicolumba stairi ,"ground-dove, friendly ",15758,0,0,15758, american samoa dps
Birds,E,branta ,"goose, hawaiian ",331937,1167348,0,1499285,
Birds,T,polioptila californica californica ,"gnatcatcher, coastal california ",884960,2242596,0,3127556, wherever found
Birds,E,gallinula galeata sandvicensis ,"gallinule, hawaiian common ",122845,599145,0,721990, wherever found
Birds,E,empidonax traillii extimus ,"flycatcher, southwestern willow ",438021,6850696,1830,7290547, wherever found
Birds,E,honeycreeper ,"finch, nihoa ",19133,0,0,19133,
Birds,E,honeycreeper ,"finch, laysan ",17713,0,0,17713,
Birds,EXPN,falco femoralis septentrionalis ,"falcon, northern aplomado ",19700,114500,0,134200, u.s.a 
Birds,E,falco femoralis septentrionalis ,"falcon, northern aplomado ",0,157326,0,157326," wherever found, except where listed as an experimental population"
Birds,E,chasiempis ibidis ,"elepaio, oahu ",22655,0,0,22655, wherever found
Birds,T,polysticta stelleri ,"eider, steller's ",574000,3113916,0,3687916, ak breeding pop
Birds,T,somateria fischeri ,"eider, spectacled ",759000,3088136,0,3847136, wherever found
Birds,E,anas laysanensis ,"duck, laysan ",61773,300,0,62073, wherever found
Birds,E,koloa ,"duck, hawaiian ",88860,760984,0,849844,
Birds,E,numenius borealis ,"curlew, eskimo ",629,100,0,729, wherever found
Birds,T,coccyzus americanus ,"cuckoo, yellow-billed ",499562,5274443,16500,5790505, western u.s. dps
Birds,E,corvus leucognaphalus ,"crow, white-necked ",2000,0,0,2000, wherever found
Birds,E,aga ,"crow, mariana ",861882,58049,0,919931,
Birds,E,'alala ,"crow, hawaiian ",132467,110400,0,242867,
Birds,E,paroreomyza maculata ,"creeper, oahu ",11914,0,0,11914, wherever found
Birds,E,paroreomyza flammea ,"creeper, molokai ",25335,0,0,25335, wherever found
Birds,E,oreomystis mana ,"creeper, hawaii ",143883,104010,0,247893, wherever found
Birds,EXPN,grus americana ,"crane, whooping ",33720,0,0,33720, u.s.a 
Birds,EXPN,grus americana ,"crane, whooping ",241500,256523,92000,590023, u.s.a. 
Birds,EXPN,grus americana ,"crane, whooping ",0,31688,0,31688, u.s.a. 
Birds,E,hemignathus hanapepe ,"nukupuu, kauai ",17828,0,0,17828, wherever found
Birds,E,hemignathus affinis ,"nukupuu, maui ",22357,0,0,22357, wherever found
Birds,E,ammodramus maritimus mirabilis ,"sparrow, cape sable seaside ",507000,741425,0,1248425, wherever found
Birds,E,honeycreeper ,`o`u ,12588,0,0,12588,
Birds,E,himantopus mexicanus knudseni ,"stilt, hawaiian ",136581,775396,0,911977, wherever found
Birds,T,mycteria americana ,"stork, wood ",225000,1151257,75400,1451657," al, fl, ga, ms, nc, sc"
Birds,E,honeyeater ,"`o`o, kauai ",11663,0,0,11663,
Birds,E,aerodramus vanikorensis bartschi ," swiftlet, mariana gray ",49858,267965,0,317823, wherever found
Birds,E,sterna antillarum browni ,"tern, california least ",758334,1378417,0,2136751, wherever found
Birds,E,sterna antillarum ,"tern, least ",453472,5500502,56801,6010775, interior pop.
Birds,E,sterna dougallii dougallii ," tern, roseate ",52483,103558,32000,188041, northeast u.s. nesting population
Birds,T,sterna dougallii dougallii ,"tern, roseate ",22000,65000,0,87000, western hemisphere except ne u.s.
Birds,E,myadestes lanaiensis rutha ,"thrush, molokai ",13878,0,0,13878, wherever found
Birds,E,puaiohi ,"thrush, small kauai ",28501,0,0,28501,
Birds,T,pipilo crissalis eremophilus ,"towhee, inyo california ",9453,6702,0,16155, wherever found
Birds,E,vireo bellii pusillus ,"vireo, least bell's ",864338,3160664,0,4025002, wherever found
Birds,T,setophaga angelae ,"warbler, elfin-woods ",13500,250,0,13750, wherever found
Birds,E,setophaga kirtlandii ,"warbler, kirtland's ",130600,301346,56366,488312,
Birds,E,old world warbler ,"warbler, nightingale reed ",27107,0,0,27107,
Birds,E,"wood, bachman's ",warbler ,7000,0,100,7100,
Birds,E,"wood, golden",warbler ,253420,127020,0,380440,cheeked 
Birds,E,zosterops conspicillatus conspicillatus ,"white-eye, bridled ",8444,0,0,8444, wherever found
Birds,E,zosterops rotensis ,"white-eye, rota bridled ",36706,0,0,36706, wherever found
Birds,E,campephilus principalis ,"woodpecker, ivory-billed ",25029,5000,0,30029, wherever found
Birds,E,picoides borealis ,"woodpecker, red-cockaded ",1631589,14849299,195200,16676088, wherever found
Birds,T,amphispiza belli clementeae ,"sparrow, san clemente sage ",21849,967094,0,988943, wherever found
Birds,E,ammodramus savannarum floridanus ,"sparrow, florida grasshopper ",230000,128094,0,358094, wherever found
Birds,E,oceanodroma castro ,"storm-petrel, band-rumped ",86983,8954,0,95937, usa 
Birds,E,lanius ludovicianus mearnsi ,"shrike, san clemente loggerhead ",30050,2597414,0,2627464, wherever found
Birds,T,strix occidentalis lucida ,"owl, mexican spotted ",84800,762156,0,846956, wherever found
Birds,T,strix occidentalis caurina ,"owl, northern spotted ",4072138,40446261,914600,45432999, wherever found
Birds,E,honeycreeper ,palila ,98027,11150,0,109177,
Birds,E,kiwikiu ,"parrotbill, maui ",36533,105000,0,141533,
Birds,E,amazona vittata ,"parrot, puerto rican ",1512500,130000,0,1642500, wherever found
Birds,E,rhynchopsitta pachyrhyncha ,"parrot, thick-billed ",200,0,0,200, wherever found
Birds,E,"honeyeater, mao ",,12929,0,0,12929,
Birds,E,pterodroma sandwichensis ,"petrel, hawaiian ",255211,492954,0,748165, wherever found
Birds,E,columba inornata wetmorei ,"pigeon, puerto rican plain ",12500,1707,0,14207, wherever found
Birds,E,charadrius melodus ,"plover, piping ",831029,290654,35099,1156782, [great lakes watershed dps] 
Birds,T,charadrius melodus ,"plover, piping ",1336288,6426543,368502,8131333, [atlantic coast and northern great plains populations] 
Birds,E,pterodroma cahow ,"petrel, bermuda ",8000,0,0,8000, wherever found
Birds,E,honeycreeper ,po`ouli ,84263,0,0,84263,
Birds,T,charadrius nivosus nivosus ,"plover, western snowy ",1496588,2499382,92400,4088370, pacific coast population dps
Birds,T,aphelocoma coerulescens ,"scrub-jay, florida ",480000,685757,0,1165757, wherever found
Birds,T,centrocercus minimus ,"sage-grouse, gunnison ",0,1030379,464417,1494796, wherever found
Birds,E,rallus obsoletus [longirostris] yumanensis ,"rail, yuma ridgways ",554371,2024772,0,2579143, wherever found
Birds,E,rallus longirostris levipes ,"rail, light-footed clapper ",169833,200325,0,370158, wherever found
Birds,T,puffinus auricularis newelli ,"shearwater, newell's townsend's ",214506,8954,0,223460, wherever found
Birds,E,rallus owstoni ,"rail, guam ",34171,44861,0,79032," wherever found, except where listed as an experimental population"
Birds,E,rallus longirostris obsoletus ,"rail, california clapper ",617416,724927,0,1342343, wherever found
Birds,E,tympanuchus cupido attwateri ,"prairie-chicken, attwater's greater ",432835,10500,0,443335, wherever found
Birds,EXPN,rallus owstoni ,"rail, guam ",27125,0,0,27125, rota
Birds,T,eremophila alpestris strigata ,"horned lark, streaked ",724564,330709,31000,1086273, wherever found
Clams,E,fusconaia cuneolus ,"pigtoe, finerayed ",22500,60150,0,82650, wherever found; except where listed as experimental populations
Clams,EXPN,fusconaia cuneolus ,"pigtoe, finerayed ",300,3508,0,3808, al; free
Clams,EXPN,fusconaia cuneolus ,"pigtoe, finerayed ",300,0,0,300, u.s.a. 
Clams,E,pleurobema marshalli ,"pigtoe, flat ",0,0,400,400, wherever found
Clams,T,pleurobema strodeanum ,"pigtoe, fuzzy ",7000,35499,0,42499, wherever found
Clams,E,pleurobema hanleyianum ,"pigtoe, georgia ",1500,0,3000,4500, wherever found
Clams,E,pleurobema taitianum ,"pigtoe, heavy ",700,764,0,1464, wherever found
Clams,T,fusconaia escambia ,"pigtoe, narrow ",26000,20989,0,46989, wherever found
Clams,E,pleurobema pyriforme ,"pigtoe, oval ",44000,96152,5000,145152, wherever found
Clams,E,pleurobema furvum ,"pigtoe, dark ",2500,573,0,3073, wherever found
Clams,E,pleurobema gibberum ,"pigtoe, cumberland ",2500,726,0,3226, wherever found
Clams,E,epioblasma penita ,"combshell, southern ",0,100,1400,1500, wherever found
Clams,E,epioblasma metastriata ,"combshell, upland ",1500,1896,1000,4396, wherever found
Clams,E,fusconaia rotulata ,"ebonyshell, round ",700,20648,0,21348, wherever found
Clams,E,alasmidonta raveneliana ,"elktoe, appalachian ",69500,196814,9900,276214, wherever found
Clams,E,alasmidonta atropurpurea ,"elktoe, cumberland ",13000,2618,5000,20618, wherever found
Clams,E,cyprogenia stegaria ,fanshell ,60900,62274,10166,133340, wherever found
Clams,EXPN,epioblasma brevidens ,"combshell, cumberlandian ",0,1002,0,1002, al; free
Clams,EXPN,cyprogenia stegaria ,fanshell ,0,3379,0,3379, u.s.a. 
Clams,E,lasmigona decorata ,"heelsplitter, carolina ",258000,6280,67600,331880, wherever found
Clams,T,potamilus inflatus ,"heelsplitter, inflated ",36500,5934,400,42834, wherever found
Clams,E,pearlymussel ,higgins eye ,290200,645500,15800,951500,
Clams,E,popenaias popeii ,"hornshell, texas ",4500,23100,0,27600, wherever found
Clams,E,ptychobranchus subtentus ,"kidneyshell, fluted ",15000,61953,0,76953, wherever found
Clams,E,ptychobranchus jonesi ,"kidneyshell, southern ",5000,35157,0,40157, wherever found
Clams,T,lampsilis powellii ,"fatmucket, arkansas ",8000,3312,4000,15312, wherever found
Clams,E,ptychobranchus greenii ,"kidneyshell, triangular ",5000,1430,2000,8430, wherever found
Clams,E,epioblasma brevidens ,"combshell, cumberlandian ",34500,1417,20000,55917, wherever found; except where listed as experimental populations
Clams,E,pleurobema perovatum ,"clubshell, ovate ",3000,2711,2900,8611, wherever found
Clams,E,epioblasma othcaloogensis ,"acornshell, southern ",1500,542,0,2042, wherever found
Clams,T,mussel ,"bankclimber, purple ",162000,95240,5000,262240,
Clams,E,pearlymussel ,"bean, cumberland ",32500,1443,20000,53943,
Clams,EXPN,pearlymussel ,"bean, cumberland ",0,2409,0,2409,
Clams,E,villosa perpurpurea ,"bean, purple ",3600,3816,0,7416, wherever found
Clams,E,villosa fabalis ,"bean, rayed ",23300,29888,6166,59354, wherever found
Clams,E,pleurobema decisum ,"clubshell, southern ",2500,8165,3400,14065, wherever found
Clams,E,pearlymussel ,"blossom, green ",400,100,0,500,
Clams,E,pearlymussel ,"blossom, turgid ",700,0,0,700,
Clams,EXPN,pearlymussel ,"blossom, turgid ",0,250,0,250,
Clams,E,pearlymussel ,"catspaw, white ",500,846,6166,7512,
Clams,E,pleurobema clava ,clubshell ,44340,30683,45391,120414, wherever found; except where listed as experimental populations
Clams,EXPN,pleurobema clava ,clubshell ,24500,0,0,24500, al; free
Clams,E,pleurobema curtum ,"clubshell, black ",0,100,400,500, wherever found
Clams,E,pearlymussel ,"blossom, tubercled ",1500,1631,0,3131,
Clams,E,pleurobema plenum ,"pigtoe, rough ",28500,19018,2000,49518, wherever found
Clams,E,lampsilis virescens ,"lampmussel, alabama ",2500,0,0,2500, wherever found; except where listed as experimental populations
Clams,T,elliptio lanceolata ,"lance, yellow ",91418,2018,15310,108746, wherever found
Clams,E,plethobasus cyphyus ,"mussel, sheepnose ",146560,77404,13666,237630, wherever found
Clams,E,epioblasma triquetra ,"mussel, snuffbox ",332810,86656,26266,445732, wherever found
Clams,NS,epioblasma triquetra ,"mussel, snuffbox ",0,0,400,400, wherever found
Clams,E,margaritifera marrianae ,"pearlshell, alabama ",5500,290,0,5790, wherever found
Clams,T,margaritifera hembeli ,"pearlshell, louisiana ",329000,13600,1000,343600, wherever found
Clams,E,lemiox rimosus ,"pearlymussel, birdwing ",4000,59900,0,63900, wherever found; except where listed as experimental populations
Clams,E,leptodea leptodon ,"mussel, scaleshell ",61847,15683,1700,79230, wherever found
Clams,EXPN,lemiox rimosus ,"pearlymussel, birdwing ",0,350,0,350, al; free
Clams,EXPN,hemistena lata ,"pearlymussel, cracking ",0,251,0,251, al; free
Clams,E,epioblasma florentina curtisii ,"pearlymussel, curtis ",2700,666,0,3366, wherever found
Clams,E,dromus dromas ,"pearlymussel, dromedary ",5500,1177,5000,11677, wherever found; except where listed as experimental populations
Clams,EXPN,dromus dromas ,"pearlymussel, dromedary ",0,3382,0,3382, al; free
Clams,E,pegias fabula ,"pearlymussel, littlewing ",16000,32364,10000,58364, wherever found
Clams,E,pleuronaia dolabelloides ,"pearlymussel, slabside ",5500,61127,400,67027, wherever found
Clams,E,hemistena lata ,"pearlymussel, cracking ",5500,60210,0,65710, wherever found; except where listed as experimental populations
Clams,EXPN,lampsilis virescens ,"lampmussel, alabama ",0,2380,0,2380, al; free
Clams,EXPN,epioblasma capsaeformis ,"mussel, oyster ",0,1253,0,1253, al; free
Clams,E,pearlymussel ,"mucket, pink ",191500,59204,16166,266870,
Clams,E,pearlymussel ,"lilliput, pale ",3500,100,0,3600,
Clams,E,quadrula fragosa ,"mapleleaf, winged ",25447,21188,0,46635," wherever found, except where listed as an experimental population"
Clams,T,medionidus acutissimus ,"moccasinshell, alabama ",4000,1056,3400,8456, wherever found
Clams,E,medionidus parvulus ,"moccasinshell, coosa ",3000,120,1000,4120, wherever found
Clams,E,medionidus penicillatus ,"moccasinshell, gulf ",16500,20000,2500,39000, wherever found
Clams,E,medionidus simpsonianus ,"moccasinshell, ochlockonee ",11500,20000,1000,32500, wherever found
Clams,E,epioblasma capsaeformis ,"mussel, oyster ",15500,1557,0,17057, wherever found; except where listed as experimental populations
Clams,T,medionidus walkeri ,"moccasinshell, suwannee ",9000,1536,5000,15536, wherever found
Clams,EXPN,pearlymussel ,"monkeyface, appalachian ",4500,425,0,4925,
Clams,E,pearlymussel ,"monkeyface, cumberland ",21000,60010,0,81010,
Clams,EXPN,pearlymussel ,"monkeyface, cumberland ",300,0,0,300,
Clams,EXPN,pearlymussel ,"monkeyface, cumberland ",300,0,0,300,
Clams,E,lampsilis rafinesqueana ,"mucket, neosho ",118804,121842,8800,249446, wherever found
Clams,T,lampsilis perovalis ,"mucket, orangenacre ",3500,1576,0,5076, wherever found
Clams,E,pearlymussel ,"monkeyface, appalachian ",1000,100,0,1100,
Clams,EXPN,pleurobema plenum ,"pigtoe, rough ",2000,3006,0,5006, u.s.a. 
Clams,E,villosa choctawensis ,"bean, choctaw ",4000,35499,0,39499, wherever found
Clams,EXPN,fusconaia cor ,"pigtoe, shiny ",300,2881,0,3181, al; free
Clams,E,alasmidonta heterodon ,"wedgemussel, dwarf ",577835,34864,7400,620099, wherever found
Clams,E,pearlymussel ,"wartyback, white ",3000,351,0,3351,
Clams,E,mussel ,"threeridge, fat ",56500,95240,7529,159269,
Clams,E,quadrula stapes ,stirrupshell ,0,0,400,400, wherever found 
Clams,E,pleurobema collina ,"spinymussel, james ",535120,2010,2100,539230, wherever found
Clams,E,elliptio spinosa ,"spinymussel, altamaha ",0,0,2000,2000, wherever found
Clams,E,mussel ,spectaclecase ,80310,55956,28800,165066,
Clams,T,elliptio chipolaensis ,"slabshell, chipola ",32000,95240,0,127240, wherever found
Clams,T,hamiota australis ,"sandshell, southern ",8000,35499,0,43499, wherever found
Clams,E,mussel ,ring pink ,26000,20180,2000,48180,
Clams,E,epioblasma florentina walkeri ,"riffleshell, tan ",47600,1183,10000,58783,
Clams,E,epioblasma torulosa rangiana ,"riffleshell, northern ",120555,33865,7166,161586, wherever found
Clams,E,quadrula cylindrica strigillata ,"rabbitsfoot, rough ",4000,3106,0,7106, wherever found
Clams,NS,quadrula cylindrica cylindrica ,rabbitsfoot ,0,0,400,400, 
Clams,E,elliptio steinstansana ,"spinymussel, tar river ",13000,6125,4900,24025, wherever found
Clams,EXPN,purple cat's paw pearlymussel ,purple cat's paw ,0,251,0,251,
Clams,E,purple cat's paw pearlymussel ,purple cat's paw ,10000,12654,6166,28820,
Clams,E,lampsilis streckeri ,"pocketbook, speckled ",0,100,3200,3300, wherever found
Clams,E,lampsilis subangulata ,"pocketbook, shinyrayed ",17500,20000,5000,42500, wherever found
Clams,E,fusconaia cor ,"pigtoe, shiny ",22000,60250,0,82250, wherever found; except where listed as experimental populations
Clams,E,arkansia wheeleri ,"pocketbook, ouachita rock ",72963,5588,1600,80151, wherever found
Clams,T,lampsilis altilis ,"pocketbook, finelined ",4500,6263,5000,15763, wherever found
Clams,E,potamilus capax ,"pocketbook, fat ",74500,144504,0,219004, wherever found
Clams,EXPN,pearlymussel ,"pimpleback, orangefoot ",0,0,5000,5000,
Clams,E,pearlymussel ,"pimpleback, orangefoot ",33000,23170,3529,59699,
Clams,T,fusconaia burkei ,"pigtoe, tapered ",6500,14510,0,21010, wherever found
Clams,E,pleurobema georgianum ,"pigtoe, southern ",3500,829,5000,9329, wherever found
Clams,EXPN,fusconaia cor ,"pigtoe, shiny ",300,0,0,300, u.s.a. 
Clams,T,quadrula cylindrica cylindrica ,rabbitsfoot ,160716,93147,7866,261729, wherever found
Conifers and Cycads,E,torreya taxifolia ,"torreya, florida ",23500,73932,1500,98932, wherever found
Conifers and Cycads,T,cupressus abramsiana ,"cypress, santa cruz ",10931,0,0,10931, wherever found
Conifers and Cycads,T,cupressus goveniana ssp. goveniana ,"cypress, gowen ",6832,0,0,6832, wherever found
Conifers and Cycads,T,cycas micronesica ,fadang ,65865,70664,0,136529, wherever found
Corals,T,orbicella franksi ,"coral, boulder star ",0,528942,0,528942, wherever found
Corals,T,acropora palmata ,"coral, elkhorn ",0,592097,0,592097, wherever found
Corals,T,orbicella annularis ,"coral, lobed star ",0,554942,0,554942, wherever found
Corals,T,orbicella faveolata ,"coral, mountainous star ",0,558642,0,558642, wherever found
Corals,T,dendrogyra cylindrus ,"coral, pillar ",0,62942,0,62942, wherever found
Corals,T,seriatopora aculeata ,no common name ,0,242055,0,242055, wherever found
Corals,NS,dendrogyra cylindrus ,"coral, pillar ",0,497000,0,497000, wherever found
Corals,T,acropora cervicornis ,"coral, staghorn ",0,630397,0,630397, wherever found
Corals,T,acropora globiceps ,no common name ,0,594055,0,594055, wherever found
Corals,T,acropora jacquelinae ,no common name ,0,538000,0,538000, wherever found
Corals,T,acropora retusa ,no common name ,0,561338,0,561338, wherever found
Corals,T,acropora speciosa ,no common name ,0,545217,0,545217, wherever found
Corals,T,euphyllia paradivisa ,no common name ,0,538000,0,538000, wherever found
Corals,T,isopora crateriformis ,no common name ,0,538000,0,538000, wherever found
Corals,T,mycetophyllia ferox ,"coral, rough cactus ",0,554942,0,554942, wherever found
Corals,T,pavona diffluens ,no common name ,0,31467,0,31467, wherever found
Crustaceans,E,gammarus hyalleloides ,"amphipod, diminutive ",2500,0,0,2500, wherever found
Crustaceans,E,stygobromus hayi ,"amphipod, hay's spring ",0,240,0,240, wherever found
Crustaceans,E,gammarus acherondytes ,"amphipod, illinois cave ",10000,0,0,10000, wherever found
Crustaceans,E,spelaeorchestia koloana ,"amphipod, kauai cave ",18360,0,0,18360, wherever found
Crustaceans,E,gammarus desperatus ,"amphipod, noel's ",12250,3000,0,15250, wherever found
Crustaceans,E,stygobromus ,"amphipod, peck's cave ",2500,0,0,2500,
Crustaceans,E,cambarus aculabrum ,"crayfish, benton county cave ",5000,0,0,5000, wherever found
Crustaceans,T,cambarus callainus ,"crayfish, big sandy ",116012,7486,0,123498, wherever found
Crustaceans,E,cambarus veteranus ,"crayfish, guyandotte river ",62648,0,0,62648, wherever found
Crustaceans,E,cambarus zophonastes ,"crayfish, hell creek cave ",5000,30000,0,35000, wherever found
Crustaceans,E,orconectes shoupi ,"crayfish, nashville ",16500,3442,0,19942, wherever found
Crustaceans,E,lepidurus packardi ,"tadpole shrimp, vernal pool ",532516,237999,0,770515, wherever found
Crustaceans,E,branchinecta conservatio ,"fairy shrimp, conservancy ",161855,114899,0,276754, wherever found
Crustaceans,E,pacifastacus fortis ,"crayfish, shasta ",10395,5100,0,15495, wherever found
Crustaceans,E,palaemonias ganteri ,"shrimp, kentucky cave ",3500,30000,0,33500, wherever found
Crustaceans,E,vetericaris chaceorum ,"shrimp, anchialine pool ",16254,0,0,16254, wherever found
Crustaceans,E,procaris hawaiana ,"shrimp, anchialine pool ",16474,200,0,16674, wherever found
Crustaceans,E,palaemonias alabamae ,"shrimp, alabama cave ",8000,41000,0,49000, wherever found
Crustaceans,E,thermosphaeroma thermophilus ,"isopod, socorro ",12000,100,0,12100, wherever found
