Group,Status,Scientific Name,Inverted Common Name,FWS 2018,Other Fed 2018,States 2018,Total 2018,Area
Amphibians,T,peltophryne lemur ,"toad, puerto rican crested ",5000,142491,0,147491, wherever found
Amphibians,E,bufo hemiophrys baxteri ,"toad, wyoming ",331300,14500,15251,361051, wherever found
Amphibians,E,rana muscosa ,"frog, mountain yellow-legged ",76115,60706,0,136821, southern california dps
Amphibians,E,bufo houstonensis ,"toad, houston ",111000,132007,4387,247394, wherever found
Amphibians,E,arroyo southwestern ,"toad, arroyo ",257341,737609,0,994950,
Amphibians,E,eurycea [typhlomolge] rathbuni ,"salamander, texas blind ",10000,840,0,10840, wherever found
Amphibians,E,ambystoma tigrinum stebbinsi ,"salamander, sonora tiger ",12500,0,0,12500, wherever found
Amphibians,E,plethodon shenandoah ,"salamander, shenandoah ",2000,75421,0,77421, wherever found
Amphibians,E,ambystoma macrodactylum croceum ,"salamander, santa cruz long-toed ",75963,1600,0,77563, wherever found
Amphibians,RT,eurycea nana ,"salamander, san marcos ",0,0,2502,2502, spring lake and nearby habitats immediately downstream of the dam forming spring lake
Amphibians,T,eurycea nana ,"salamander, san marcos ",10000,840,0,10840, wherever found
Amphibians,T,eurycea chisholmensis ,"salamander, salado ",5000,89216,0,94216, wherever found
Amphibians,E,rana sevosa ,"frog, dusky gopher ",169000,271568,22000,462568, wherever found
Amphibians,E,ambystoma bishopi ,"salamander, reticulated flatwoods ",30000,84369,30000,144369, wherever found
Amphibians,T,phaeognathus hubrichti ,"salamander, red hills ",7000,1248,0,8248, wherever found
Amphibians,T,anaxyrus canorus ,"toad, yosemite ",221760,67606,0,289366, wherever found
Amphibians,T,eurycea tonkawae ,"salamander, jollyville plateau ",10000,0,0,10000, wherever found
Amphibians,T,eurycea naufragia ,"salamander, georgetown ",2500,0,2502,5002, wherever found
Amphibians,T,ambystoma cingulatum ,"salamander, frosted flatwoods ",232500,319432,30000,581932, wherever found
Amphibians,E,batrachoseps aridus ,"salamander, desert slender ",578,10200,0,10778, wherever found
Amphibians,T,plethodon nettingi ,"salamander, cheat mountain ",28471,404239,0,432710, wherever found
Amphibians,T,ambystoma californiense ,"salamander, california tiger ",774855,255617,0,1030472, u.s.a. 
Amphibians,E,ambystoma californiense ,"salamander, california tiger ",568969,36000,0,604969, u.s.a. 
Amphibians,E,ambystoma californiense ,"salamander, california tiger ",568688,400,0,569088, u.s.a. 
Amphibians,E,eurycea sosorum ,"salamander, barton springs ",10000,336224,2502,348726, wherever found
Amphibians,E,eurycea waterlooensis ,"salamander, austin blind ",5000,0,2502,7502, wherever found
Amphibians,E,cryptobranchus alleganiensis bishopi ,"hellbender, ozark ",196000,15887,100900,312787, wherever found
Amphibians,T,eleutherodactylus cooki ,guajon ,6500,0,0,6500, wherever found
Amphibians,E,rana sierrae ,"frog, sierra nevada yellow-legged ",247124,703200,0,950324, wherever found
Amphibians,T,rana pretiosa ,"frog, oregon spotted ",982887,618808,52800,1654495, wherever found
Amphibians,E,rana muscosa ,"frog, mountain yellow-legged ",216242,311600,0,527842, northern california dps
Amphibians,E,plethodon neomexicanus ,"salamander, jemez mountains ",17000,50000,0,67000, wherever found
Amphibians,E,sipsey fork ,"waterdog, black warrior ",4500,1637,0,6137,
Amphibians,T,conraua goliath ,"frog, goliath ",0,3000,0,3000, wherever found
Amphibians,T,rana draytonii ,"frog, california red-legged ",1409605,992043,0,2401648, wherever found
Amphibians,E,eleutherodactylus juanariveroi ,"coqui, llanero ",4500,652524,0,657024, wherever found
Amphibians,T,eleutherodactylus jasperi ,"coqui, golden ",14000,0,0,14000, wherever found
Amphibians,T,rana chiricahuensis ,"frog, chiricahua leopard ",75489,139494,0,214983, wherever found
Arachnids,E,texella reddelli ,"harvestman, bee creek cave ",2500,0,0,2500, wherever found
Arachnids,E,texella reyesi ,"harvestman, bone cave ",10000,0,0,10000, wherever found
Arachnids,E,cicurina venii ,"meshweaver, braken bat cave ",2500,0,0,2500, wherever found
Arachnids,E,adelocosa anops ,"spider, kauai cave wolf or pe'e pe'e maka 'ole ",15737,0,0,15737, wherever found
Arachnids,E,neoleptoneta microps ,"spider, government canyon bat cave ",2500,0,0,2500, wherever found
Arachnids,E,tartarocreagris texana ,"pseudoscorpion, tooth cave ",2500,0,0,2500, wherever found
Arachnids,E,cicurina baronia ,"meshweaver, robber baron cave ",2500,0,0,2500, wherever found
Arachnids,E,cicurina madla ,"meshweaver, madla cave ",2500,0,0,2500, wherever found
Arachnids,E,cicurina vespera ,"meshweaver, government canyon bat cave ",2500,0,0,2500, wherever found
Arachnids,E,neoleptoneta myopica ,"spider, tooth cave ",2500,0,0,2500, wherever found
Arachnids,E,microhexura montivaga ,"spider, spruce-fir moss ",43500,4265,0,47765, wherever found
Birds,E,grus leucogeranus ,"crane, siberian white ",0,20,0,20, wherever found
Birds,E,grus canadensis pulla ,"crane, mississippi sandhill ",250000,4626,500,255126, wherever found
Birds,E,grus monacha ,"crane, hooded ",0,20,0,20, wherever found
Birds,E,caprimulgus noctitherus ,"nightjar, puerto rican ",10000,250,0,10250, wherever found
Birds,T,brachyramphus marmoratus ,"murrelet, marbled ",2128419,2145462,1618600,5892481, u.s.a. 
Birds,E,gallinula chloropus guami ,"moorhen, mariana common ",34001,6221,0,40222, wherever found
Birds,E,old world warbler ,"millerbird, nihoa ",30135,0,0,30135,
Birds,E,megapodius laperouse ,"megapode, micronesian ",30656,47617,0,78273, wherever found
Birds,T,calidris canutus rufa ,"knot, red ",504095,372730,62360,939185, wherever found
Birds,E,rostrhamus sociabilis plumbeus ,"kite, everglade snail ",448000,884647,0,1332647, wherever found
