Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Indiana bat,Myotis sodalis,Wherever found,Mammals,2007-04-16,E,Great Lakes-Big Rivers Region,116.0
Grizzly bear,Ursus arctos horribilis,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",Mammals,1993-09-10,T,Mountain-Prairie Region,329.0
Columbian white-tailed deer,Odocoileus virginianus leucurus,Columbia River DPS,Mammals,1983-06-14,T,Pacific Region,14.0
Black-footed ferret,Mustela nigripes,"Wherever found, except where listed as an experimental population",Mammals,2013-12-23,E,Mountain-Prairie Region,84.0
San Joaquin kit fox,Vulpes macrotis mutica,wherever found,Mammals,1998-09-30,E,California/Nevada Region,84.0
West Indian Manatee,Trichechus manatus,Wherever found,Mammals,1986-12-24,T,Southeast Region,14.0
West Indian Manatee,Trichechus manatus,Wherever found,Mammals,2001-10-30,T,Southeast Region,122.0
Florida panther,Puma (=Felis) concolor coryi,Wherever found,Mammals,2008-12-18,E,Southeast Region,165.0
Sonoran pronghorn,Antilocapra americana sonoriensis,"Wherever found, except where listed as an experimental population",Mammals,2016-11-22,E,Southwest Region,39.0
Red wolf,Canis rufus,"Wherever found, except where listed as an experimental population",Mammals,1990-10-26,E,Southeast Region,40.0
Hawaiian hoary bat,Lasiurus cinereus semotus,Wherever found,Mammals,1998-05-11,E,Pacific Region,13.0
Morro Bay kangaroo rat,Dipodomys heermanni morroensis,Wherever found,Mammals,2000-01-25,E,California/Nevada Region,68.0
Salt marsh harvest mouse,Reithrodontomys raviventris,wherever found,Mammals,2014-02-26,E,California/Nevada Region,102.0
Jaguar,Panthera onca,Wherever found,Mammals,2018-07-27,E,Southwest Region,22.0
Utah prairie dog,Cynomys parvidens,Wherever found,Mammals,2012-04-26,T,Mountain-Prairie Region,35.0
Gray bat,Myotis grisescens,Wherever found,Mammals,1982-07-08,E,Great Lakes-Big Rivers Region,68.0
Ozark big-eared bat,Corynorhinus (=Plecotus) townsendii ingens,Wherever found,Mammals,1995-03-28,E,Southwest Region,26.0
Little Mariana fruit Bat,Pteropus tokudae,Wherever found,Mammals,1990-11-02,E,Pacific Region,99.0
Virginia big-eared bat,Corynorhinus (=Plecotus) townsendii virginianus,Wherever found,Mammals,1984-05-08,E,Northeast Region,45.0
Amargosa vole,Microtus californicus scirpensis,Wherever found,Mammals,1997-09-15,E,California/Nevada Region,38.0
Silver rice rat,Oryzomys palustris natator,lower FL Keys,Mammals,1999-05-18,E,Southeast Region,48.0
Ocelot,Leopardus (=Felis) pardalis,wherever found,Mammals,2016-08-10,E,Southwest Region,
Key Largo cotton mouse,Peromyscus gossypinus allapaticola,Wherever found,Mammals,1999-05-18,E,Southeast Region,53.0
Key Largo woodrat,Neotoma floridana smalli,Wherever found,Mammals,1999-05-18,E,Southeast Region,54.0
loulu,Pritchardia lanigera,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Choctawhatchee beach mouse,Peromyscus polionotus allophrys,Wherever found,Mammals,1987-08-12,E,Southeast Region,42.0
Perdido Key beach mouse,Peromyscus polionotus trissyllepsis,Wherever found,Mammals,1987-08-12,E,Southeast Region,50.0
Fresno kangaroo rat,Dipodomys nitratoides exilis,Wherever found,Mammals,1998-09-30,E,California/Nevada Region,26.0
Giant kangaroo rat,Dipodomys ingens,Wherever found,Mammals,1998-09-30,E,California/Nevada Region,35.0
Tipton kangaroo rat,Dipodomys nitratoides nitratoides,Wherever found,Mammals,1998-09-30,E,California/Nevada Region,23.0
Alabama beach mouse,Peromyscus polionotus ammobates,Wherever found,Mammals,1987-08-12,E,Southeast Region,38.0
Carolina northern flying squirrel,Glaucomys sabrinus coloratus,Wherever found,Mammals,1990-09-24,E,Southeast Region,21.0
Southern sea otter,Enhydra lutris nereis,Wherever found,Mammals,2003-04-03,T,California/Nevada Region,24.0
Lower Keys marsh rabbit,Sylvilagus palustris hefneri,Wherever found,Mammals,1999-05-18,E,Southeast Region,52.0
Mexican long-nosed bat,Leptonycteris nivalis,Wherever found,Mammals,1994-09-08,E,Southwest Region,31.0
Point Arena mountain beaver,Aplodontia rufa nigra,Wherever found,Mammals,1998-06-02,E,California/Nevada Region,34.0
Anastasia Island beach mouse,Peromyscus polionotus phasma,Wherever found,Mammals,1993-09-23,E,Southeast Region,15.0
Pacific pocket mouse,Perognathus longimembris pacificus,Wherever found,Mammals,1998-09-28,E,California/Nevada Region,42.0
Preble's meadow jumping mouse,Zapus hudsonius preblei,wherever found,Mammals,2016-04-11,T,Mountain-Prairie Region,50.0
Southeastern beach mouse,Peromyscus polionotus niveiventris,wherever found,Mammals,1993-09-23,T,Southeast Region,10.0
St. Andrew beach mouse,Peromyscus polionotus peninsularis,Wherever found,Mammals,2010-12-28,E,Southeast Region,65.0
Riparian brush rabbit,Sylvilagus bachmani riparius,Wherever found,Mammals,1998-09-30,E,California/Nevada Region,17.0
Peninsular bighorn sheep,Ovis canadensis nelsoni,Peninsular CA pop.,Mammals,2000-10-25,E,California/Nevada Region,53.0
Sierra Nevada bighorn sheep,Ovis canadensis sierrae,Sierra Nevada,Mammals,2008-02-13,E,California/Nevada Region,30.0
Buena Vista Lake ornate Shrew,Sorex ornatus relictus,Wherever found,Mammals,1998-09-30,E,California/Nevada Region,20.0
Northern Idaho Ground Squirrel,Urocitellus brunneus,Wherever found,Mammals,2003-09-16,T,Pacific Region,49.0
Florida salt marsh vole,Microtus pennsylvanicus dukecampbelli,Wherever found,Mammals,1997-09-30,E,Southeast Region,8.0
Riparian woodrat (=San Joaquin Valley),Neotoma fuscipes riparia,Wherever found,Mammals,1998-09-30,E,California/Nevada Region,17.0
akiapolaau,Hemignathus wilsoni,Wherever found,Birds,2006-09-22,E,Pacific Region,269.0
California condor,Gymnogyps californianus,"U.S.A. only, except where listed as an experimental population",Birds,1996-04-25,E,California/Nevada Region,62.0
Whooping crane,Grus americana,"Wherever found, except where listed as an experimental population",Birds,2007-05-29,E,Southwest Region,43.0
Hawaiian (='alala) Crow,Corvus hawaiiensis,Wherever found,Birds,2009-04-17,E,Pacific Region,56.0
Hawaiian (=koloa) Duck,Anas wyvilliana,Wherever found,Birds,2012-01-19,E,Pacific Region,53.0
Laysan duck,Anas laysanensis,Wherever found,Birds,2009-09-22,E,Pacific Region,24.0
Laysan finch (honeycreeper),Telespyza cantans,Wherever found,Birds,1984-10-04,E,Pacific Region,24.0
Nihoa finch (honeycreeper),Telespyza ultima,Wherever found,Birds,1984-10-04,E,Pacific Region,24.0
Hawaiian goose,Branta (=Nesochen) sandvicensis,Wherever found,Birds,2004-09-24,T,Pacific Region,58.0
crested honeycreeper (Akohekohe),Palmeria dolei,Wherever found,Birds,2006-09-22,E,Pacific Region,362.0
Nihoa millerbird (old world warbler),Acrocephalus familiaris kingi,Wherever found,Birds,1984-10-04,E,Pacific Region,27.0
Hawaiian common gallinule,Gallinula galeata sandvicensis,Wherever found,Birds,2012-01-19,E,Pacific Region,49.0
loulu,Pritchardia bakeri,Wherever found,Flowering Plants,2018-07-26,E,Pacific Region,
`O`u (honeycreeper),Psittirostra psittacea,Wherever found,Birds,2006-09-22,E,Pacific Region,158.0
Palila (honeycreeper),Loxioides bailleui,Wherever found,Birds,2006-09-22,E,Pacific Region,175.0
Puerto Rican parrot,Amazona vittata,Wherever found,Birds,2009-06-17,E,Southeast Region,29.0
Maui parrotbill (Kiwikiu),Pseudonestor xanthophrys,Wherever found,Birds,2006-09-22,E,Pacific Region,362.0
Hawaiian petrel,Pterodroma sandwichensis,Wherever found,Birds,1983-04-25,E,Pacific Region,37.0
Attwater's greater prairie-chicken,Tympanuchus cupido attwateri,Wherever found,Birds,2010-04-26,E,Southwest Region,60.0
Beach layia,Layia carnosa,Wherever found,Flowering Plants,1998-09-29,T,California/Nevada Region,13.0
Eastern Massasauga (=rattlesnake),Sistrurus catenatus,Wherever found,Reptiles,2021-07-20,T,Great Lakes-Big Rivers Region,
Sierra Nevada red fox,Vulpes vulpes necator,,Mammals,2021-12-10,E,California/Nevada Region,
Micronesian megapode,Megapodius laperouse,Wherever found,Birds,1998-04-10,E,Pacific Region,16.0
Short-tailed albatross,Phoebastria (=Diomedea) albatrus,Wherever found,Birds,2009-05-20,E,Alaska Region,55.0
Masked bobwhite (quail),Colinus virginianus ridgwayi,Wherever found,Birds,1995-04-21,E,Southwest Region,68.0
Ivory-billed woodpecker,Campephilus principalis,Wherever found,Birds,2010-07-19,E,Southeast Region,36.0
California least tern,Sterna antillarum browni,Wherever found,Birds,1985-09-27,E,California/Nevada Region,101.0
Hawaii akepa,Loxops coccineus,Wherever found,Birds,2006-09-22,E,Pacific Region,249.0
Maui akepa,Loxops ochraceus,Wherever found,Birds,2006-09-22,E,Pacific Region,5.0
Oahu creeper,Paroreomyza maculata,Wherever found,Birds,2006-09-22,E,Pacific Region,5.0
Puerto Rican plain Pigeon,Columba inornata wetmorei,Wherever found,Birds,1982-10-14,E,Southeast Region,40.0
California clapper rail,Rallus longirostris obsoletus,Wherever found,Birds,2014-02-26,E,California/Nevada Region,110.0
Light-footed clapper rail,Rallus longirostris levipes,Wherever found,Birds,1985-06-24,E,California/Nevada Region,216.0
Hawaiian stilt,Himantopus mexicanus knudseni,Wherever found,Birds,2012-01-19,E,Pacific Region,45.0
Molokai thrush,Myadestes lanaiensis rutha,Wherever found,Birds,2006-09-22,E,Pacific Region,5.0
Red-cockaded woodpecker,Picoides borealis,Wherever found,Birds,2003-03-20,E,Southeast Region,264.0
Hawaiian coot,Fulica americana alai,Wherever found,Birds,2012-01-19,E,Pacific Region,43.0
Molokai creeper,Paroreomyza flammea,Wherever found,Birds,2006-09-22,E,Pacific Region,4.0
Mississippi sandhill crane,Grus canadensis pulla,Wherever found,Birds,1991-09-06,E,Southeast Region,17.0
Puerto Rican nightjar,Caprimulgus noctitherus,Wherever found,Birds,1984-04-19,E,Southeast Region,7.0
Hawaii creeper,Oreomystis mana,Wherever found,Birds,2006-09-22,E,Pacific Region,256.0
Po`ouli (honeycreeper),Melamprosops phaeosoma,Wherever found,Birds,2006-09-22,E,Pacific Region,328.0
Newell's Townsend's shearwater,Puffinus auricularis newelli,Wherever found,Birds,1983-04-25,T,Pacific Region,39.0
San Clemente loggerhead shrike,Lanius ludovicianus mearnsi,Wherever found,Birds,1984-01-26,E,California/Nevada Region,22.0
San Clemente sage sparrow,Amphispiza belli clementeae,Wherever found,Birds,1984-01-26,T,California/Nevada Region,21.0
Yellow-shouldered blackbird,Agelaius xanthomus,Wherever found,Birds,1996-11-12,E,Southeast Region,19.0
Mariana (=aga) Crow,Corvus kubaryi,Wherever found,Birds,2006-01-11,E,Pacific Region,61.0
Guam Micronesian kingfisher,Halcyon cinnamomina cinnamomina,Wherever found,Birds,2008-11-14,E,Pacific Region,70.0
Mariana common moorhen,Gallinula chloropus guami,Wherever found,Birds,1991-09-30,E,Pacific Region,73.0
Guam rail,Rallus owstoni,"Wherever found, except where listed as an experimental population",Birds,1990-09-28,E,Pacific Region,65.0
Bridled white-eye,Zosterops conspicillatus conspicillatus,Wherever found,Birds,1990-09-28,E,Pacific Region,18.0
Least Bell's vireo,Vireo bellii pusillus,Wherever found,Birds,1998-05-06,E,California/Nevada Region,49.0
Wood stork,Mycteria americana,"AL, FL, GA, MS, NC, SC",Birds,1997-01-27,T,Southeast Region,35.0
Audubon's crested caracara,Polyborus plancus audubonii,FL pop.,Birds,1999-05-18,T,Southeast Region,38.0
Northern Aplomado Falcon,Falco femoralis septentrionalis,"Wherever found, except where listed as an experimental population",Birds,1990-06-08,E,Southwest Region,18.0
Puerto Rican broad-winged hawk,Buteo platypterus brunnescens,Wherever found,Birds,1997-09-08,E,Southeast Region,14.0
Puerto Rican sharp-shinned hawk,Accipiter striatus venator,Wherever found,Birds,1997-09-08,E,Southeast Region,16.0
Mexican spotted owl,Strix occidentalis lucida,Wherever found,Birds,2012-12-18,T,Southwest Region,88.0
Piping Plover,Charadrius melodus,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",Birds,2003-09-16,E,Great Lakes-Big Rivers Region,56.0
Piping Plover,Charadrius melodus,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",Birds,1996-05-02,T,Northeast Region,40.0
Piping Plover,Charadrius melodus,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",Birds,2016-03-16,T,Northeast Region,
Western snowy plover,Charadrius nivosus nivosus,"Pacific Coast population DPS-U.S.A. (CA, OR, WA), Mexico (within 50 miles of Pacific coast)",Birds,2007-09-24,T,California/Nevada Region,94.0
Florida grasshopper sparrow,Ammodramus savannarum floridanus,Wherever found,Birds,1999-05-18,E,Southeast Region,25.0
Roseate tern,Sterna dougallii dougallii,Northeast U.S. nesting population,Birds,1998-11-05,E,Northeast Region,32.0
Roseate tern,Sterna dougallii dougallii,Western Hemisphere except NE U.S.,Birds,1993-09-24,T,Southeast Region,18.0
Inyo California towhee,Pipilo crissalis eremophilus,Wherever found,Birds,1998-04-10,T,California/Nevada Region,20.0
Florida scrub-jay,Aphelocoma coerulescens,Wherever found,Birds,2019-08-06,T,Southeast Region,
Northern spotted owl,Strix occidentalis caurina,Wherever found,Birds,2011-07-01,T,Pacific Region,33.0
Marbled murrelet,Brachyramphus marmoratus,"U.S.A. (CA, OR, WA)",Birds,1997-09-24,T,Pacific Region,35.0
Hermes copper butterfly,Lycaena hermes,Wherever found,Insects,2022-02-08,T,California/Nevada Region,
Mariana gray swiftlet,Aerodramus vanikorensis bartschi,Wherever found,Birds,1991-09-30,E,Pacific Region,40.0
Southwestern willow flycatcher,Empidonax traillii extimus,Wherever found,Birds,2002-08-30,E,Southwest Region,132.0
Oahu elepaio,Chasiempis ibidis,Wherever found,Birds,2006-09-22,E,Pacific Region,188.0
Blunt-nosed leopard lizard,Gambelia silus,Wherever found,Reptiles,1998-09-30,E,California/Nevada Region,66.0
San Francisco garter snake,Thamnophis sirtalis tetrataenia,Wherever found,Reptiles,1985-09-11,E,California/Nevada Region,53.0
Hawksbill sea turtle,Eretmochelys imbricata,Wherever found,Reptiles,1993-12-15,E,Southeast Region,41.0
Hawksbill sea turtle,Eretmochelys imbricata,Wherever found,Reptiles,1998-01-12,E,Southeast Region,48.0
Leatherback sea turtle,Dermochelys coriacea,Wherever found,Reptiles,1992-04-06,E,Southeast Region,50.0
Leatherback sea turtle,Dermochelys coriacea,Wherever found,Reptiles,1998-01-12,E,Southeast Region,44.0
Kemp's ridley sea turtle,Lepidochelys kempii,Wherever found,Reptiles,2011-09-22,E,Southwest Region,61.0
Puerto Rican boa,Epicrates inornatus,Wherever found,Reptiles,1986-03-27,E,Southeast Region,12.0
Olive ridley sea turtle,Lepidochelys olivacea,"Wherever found, except when listed as endangered under 50 CFR 224.101",Reptiles,1998-01-12,T,Southeast Region,20.0
Culebra Island giant anole,Anolis roosevelti,Wherever found,Reptiles,1983-01-28,E,Southeast Region,3.0
St. Croix ground lizard,Ameiva polops,Wherever found,Reptiles,1984-03-29,E,Southeast Region,9.0
Mona boa,Epicrates monensis monensis,Wherever found,Reptiles,1984-04-19,T,Southeast Region,9.0
Mona ground Iguana,Cyclura stejnegeri,Wherever found,Reptiles,1984-04-19,T,Southeast Region,13.0
New Mexican ridge-nosed rattlesnake,Crotalus willardi obscurus,Wherever found,Reptiles,1985-03-22,T,Southwest Region,22.0
Atlantic salt marsh snake,Nerodia clarkii taeniata,Wherever found,Reptiles,1993-12-15,T,Southeast Region,13.0
Alabama red-bellied turtle,Pseudemys alabamensis,Wherever found,Reptiles,2019-08-06,E,Southeast Region,
Flattened musk turtle,Sternotherus depressus,Black Warrior R. system upstream from Bankhead Dam,Reptiles,1990-02-26,T,Southeast Region,8.0
Plymouth Redbelly Turtle,Pseudemys rubriventris bangsi,Wherever found,Reptiles,1994-05-06,E,Northeast Region,18.0
Ringed map turtle,Graptemys oculifera,Wherever found,Reptiles,1988-04-08,T,Southeast Region,13.0
Yellow-blotched map turtle,Graptemys flavimaculata,Wherever found,Reptiles,1993-03-15,T,Southeast Region,6.0
Acuña Cactus,Echinomastus erectocentrus var. acunensis,Wherever found,Flowering Plants,2022-05-31,E,Southwest Region,
Virgin Islands tree boa,Chilabothrus granti,Wherever found,Reptiles,1986-03-27,E,Southeast Region,13.0
Coachella Valley fringe-toed lizard,Uma inornata,Wherever found,Reptiles,1985-09-11,T,California/Nevada Region,44.0
American crocodile,Crocodylus acutus,U.S.A. (FL),Reptiles,1999-05-18,T,Southeast Region,32.0
Bluetail mole skink,Eumeces egregius lividus,Wherever found,Reptiles,1999-05-18,T,Southeast Region,22.0
Sand skink,Neoseps reynoldsi,Wherever found,Reptiles,1999-05-18,T,Southeast Region,21.0
Copperbelly water snake,Nerodia erythrogaster neglecta,"Indiana north of 40 degrees north latitude, Michigan, Ohio",Reptiles,2008-12-23,T,Great Lakes-Big Rivers Region,35.0
Gopher tortoise,Gopherus polyphemus,West of Mobile and Tombigbee Rivers,Reptiles,1990-12-26,T,Southeast Region,16.0
Smalleye Shiner,Notropis buccula,Wherever found,Fishes,2022-03-07,E,Southwest Region,
Alameda whipsnake (=striped racer),Masticophis lateralis euryxanthus,Wherever found,Reptiles,2003-04-07,T,California/Nevada Region,134.0
Giant garter snake,Thamnophis gigas,Wherever found,Reptiles,2017-09-28,T,California/Nevada Region,9.0
Santa Cruz long-toed salamander,Ambystoma macrodactylum croceum,Wherever found,Amphibians,1999-07-02,E,California/Nevada Region,74.0
Sharpnose Shiner,Notropis oxyrhynchus,Wherever found,Fishes,2022-03-07,E,Southwest Region,
Desert slender salamander,Batrachoseps aridus,Wherever found,Amphibians,1982-08-12,E,California/Nevada Region,37.0
Red Hills salamander,Phaeognathus hubrichti,Wherever found,Amphibians,1983-11-23,T,Southeast Region,9.0
Golden coqui,Eleutherodactylus jasperi,Wherever found,Amphibians,1984-04-19,T,Southeast Region,6.0
San Marcos salamander,Eurycea nana,Wherever found,Amphibians,1996-02-14,T,Southwest Region,33.0
Puerto Rican crested toad,Peltophryne lemur,Wherever found,Amphibians,1992-08-07,T,Southeast Region,17.0
Guajon,Eleutherodactylus cooki,Wherever found,Amphibians,2004-09-24,T,Southeast Region,22.0
Barton Springs salamander,Eurycea sosorum,Wherever found,Amphibians,2005-09-21,E,Southwest Region,48.0
Cheat Mountain salamander,Plethodon nettingi,Wherever found,Amphibians,1991-07-25,T,Northeast Region,23.0
Shenandoah salamander,Plethodon shenandoah,Wherever found,Amphibians,1994-09-29,E,Northeast Region,21.0
California tiger Salamander,Ambystoma californiense,U.S.A. (CA - Sonoma County),Amphibians,2016-06-20,E,California/Nevada Region,31.0
Arroyo (=arroyo southwestern) toad,Anaxyrus californicus,Wherever found,Amphibians,1999-07-24,E,California/Nevada Region,75.0
California red-legged frog,Rana draytonii,Wherever found,Amphibians,2002-09-12,T,California/Nevada Region,104.0
Chiricahua leopard frog,Rana chiricahuensis,Wherever found,Amphibians,2007-06-04,T,Southwest Region,79.0
Spectacled eider,Somateria fischeri,Wherever found,Birds,2008-08-12,T,Alaska Region,231.0
dusky gopher frog,Rana sevosa,Wherever found,Amphibians,2015-09-09,E,Southeast Region,58.0
Cui-ui,Chasmistes cujus,Wherever found,Fishes,1992-05-15,E,California/Nevada Region,44.0
Moapa dace,Moapa coriacea,Wherever found,Fishes,1996-05-16,E,California/Nevada Region,6.0
Maryland darter,Etheostoma sellare,Wherever found,Fishes,1985-10-17,E,Northeast Region,28.0
Big Bend gambusia,Gambusia gaigei,Wherever found,Fishes,1984-09-19,E,Southwest Region,16.0
Clear Creek gambusia,Gambusia heterochir,Wherever found,Fishes,1982-01-14,E,Southwest Region,33.0
Colorado pikeminnow (=squawfish),Ptychocheilus lucius,"Wherever found, except where listed as an experimental population",Fishes,2002-08-28,E,Mountain-Prairie Region,34.0
Comanche Springs pupfish,Cyprinodon elegans,Wherever found,Fishes,1981-09-02,E,Southwest Region,19.0
Devils Hole pupfish,Cyprinodon diabolis,Wherever found,Fishes,1990-09-28,E,California/Nevada Region,19.0
Owens pupfish,Cyprinodon radiosus,Wherever found,Fishes,1998-09-30,E,California/Nevada Region,44.0
Gila topminnow (incl. Yaqui),Poeciliopsis occidentalis,Wherever found,Fishes,1998-12-30,E,Southwest Region,24.0
Gila topminnow (incl. Yaqui),Poeciliopsis occidentalis,Wherever found,Fishes,1999-03-05,E,Southwest Region,
Apache trout,Oncorhynchus apache,Wherever found,Fishes,2009-09-03,T,Southwest Region,10.0
Greenback Cutthroat trout,Oncorhynchus clarkii stomias,Wherever found,Fishes,2019-08-29,T,Mountain-Prairie Region,
Paiute cutthroat trout,Oncorhynchus clarkii seleniris,Wherever found,Fishes,2004-09-10,T,California/Nevada Region,42.0
Okaloosa darter,Etheostoma okaloosae,Wherever found,Fishes,1998-10-26,T,Southeast Region,29.0
Mohave tui chub,Gila bicolor ssp. mohavensis,Wherever found,Fishes,1984-09-12,E,California/Nevada Region,54.0
Pahranagat roundtail chub,Gila robusta jordani,Wherever found,Fishes,1998-05-26,E,California/Nevada Region,9.0
Sharpnose Shiner,Notropis oxyrhynchus,Wherever found,Fishes,2022-03-11,E,Southwest Region,
Fountain darter,Etheostoma fonticola,Wherever found,Fishes,1996-02-14,E,Southwest Region,36.0
Watercress darter,Etheostoma nuchale,Wherever found,Fishes,1993-03-29,E,Southeast Region,12.0
Pecos gambusia,Gambusia nobilis,Wherever found,Fishes,1983-05-09,E,Southwest Region,20.0
Warm Springs pupfish,Cyprinodon nevadensis pectoralis,Wherever found,Fishes,1990-09-28,E,California/Nevada Region,15.0
Unarmored threespine stickleback,Gasterosteus aculeatus williamsoni,Wherever found,Fishes,1985-12-26,E,California/Nevada Region,39.0
Lahontan cutthroat trout,Oncorhynchus clarkii henshawi,Wherever found,Fishes,1995-01-30,T,California/Nevada Region,117.0
Woundfin,Plagopterus argentissimus,"Wherever found, except where listed as an experimental population",Fishes,1995-04-19,E,Mountain-Prairie Region,40.0
Snail darter,Percina tanasi,Wherever found,Fishes,1983-05-05,T,Southeast Region,17.0
Alabama cavefish,Speoplatyrhinus poulsoni,Wherever found,Fishes,1990-10-25,E,Southeast Region,16.0
Spotfin Chub,Erimonax monachus,"Wherever found, except where listed as an experimental population",Fishes,1983-11-21,T,Southeast Region,16.0
Leopard darter,Percina pantherina,Wherever found,Fishes,1993-05-03,T,Southwest Region,31.0
Slackwater darter,Etheostoma boschungi,Wherever found,Fishes,1984-03-08,T,Southeast Region,12.0
Roanoke logperch,Percina rex,Wherever found,Fishes,1992-03-20,E,Northeast Region,13.0
Pygmy Sculpin,Cottus paulus (=pygmaeus),Wherever found,Fishes,1991-08-06,T,Southeast Region,11.0
Cape Fear shiner,Notropis mekistocholas,Wherever found,Fishes,1988-10-07,E,Southeast Region,10.0
Waccamaw silverside,Menidia extensa,Wherever found,Fishes,1993-08-11,T,Southeast Region,13.0
Bayou darter,Etheostoma rubrum,Wherever found,Fishes,1990-07-10,T,Southeast Region,23.0
Slender chub,Erimystax cahni,Wherever found,Fishes,1983-07-29,T,Southeast Region,16.0
Yellowfin madtom,Noturus flavipinnis,"Wherever found, except where listed as an experimental population",Fishes,1983-06-23,T,Southeast Region,16.0
Bonytail,Gila elegans,Wherever found,Fishes,2002-08-01,E,Mountain-Prairie Region,54.0
San Marcos gambusia,Gambusia georgei,Wherever found,Fishes,1996-02-14,E,Southwest Region,34.0
Leon Springs pupfish,Cyprinodon bovinus,Wherever found,Fishes,1985-08-14,E,Southwest Region,19.0
Alabama sturgeon,Scaphirhynchus suttkusi,Wherever found,Fishes,2013-07-08,E,Southeast Region,
Chihuahua chub,Gila nigrescens,Wherever found,Fishes,1986-04-14,T,Southwest Region,12.0
Sonora chub,Gila ditaenia,Wherever found,Fishes,1992-09-30,T,Southwest Region,23.0
Virgin River Chub,Gila seminuda (=robusta),Wherever found,Fishes,1995-04-19,E,Mountain-Prairie Region,40.0
Niangua darter,Etheostoma nianguae,Wherever found,Fishes,1989-07-17,T,Great Lakes-Big Rivers Region,12.0
Smoky madtom,Noturus baileyi,Wherever found,Fishes,1985-08-09,E,Southeast Region,11.0
Yaqui catfish,Ictalurus pricei,Wherever found,Fishes,1995-03-29,T,Southwest Region,31.0
Ozark cavefish,Amblyopsis rosae,Wherever found,Fishes,1989-11-14,T,Southeast Region,9.0
Hutton tui chub,Gila bicolor ssp.,Wherever found,Fishes,1998-04-27,T,Pacific Region,23.0
Owens Tui Chub,Gila bicolor ssp. snyderi,Wherever found,Fishes,1998-09-30,E,California/Nevada Region,59.0
Yaqui chub,Gila purpurea,Wherever found,Fishes,1995-03-29,E,Southwest Region,31.0
Ash Meadows speckled dace,Rhinichthys osculus nevadensis,Wherever found,Fishes,1990-09-28,E,California/Nevada Region,14.0
Clover Valley speckled dace,Rhinichthys osculus oligoporus,Wherever found,Fishes,1998-05-12,E,California/Nevada Region,9.0
Desert dace,Eremichthys acros,Wherever found,Fishes,1997-05-27,T,California/Nevada Region,6.0
Independence Valley speckled dace,Rhinichthys osculus lethoporus,Wherever found,Fishes,1998-05-12,E,California/Nevada Region,10.0
Cherokee darter,Etheostoma scotti,Wherever found,Fishes,2000-11-17,T,Southeast Region,30.0
Neosho madtom,Noturus placidus,Wherever found,Fishes,1991-09-30,T,Mountain-Prairie Region,35.0
Pygmy madtom,Noturus stanauli,Wherever found,Fishes,1994-09-27,E,Southeast Region,11.0
Devils River minnow,Dionda diaboli,Wherever found,Fishes,2005-09-13,T,Southwest Region,38.0
Loach minnow,Tiaroga cobitis,Wherever found,Fishes,1991-09-30,E,Southwest Region,33.0
Ash Meadows Amargosa pupfish,Cyprinodon nevadensis mionectes,Wherever found,Fishes,1990-09-28,E,California/Nevada Region,14.0
Desert pupfish,Cyprinodon macularius,Wherever found,Fishes,1993-12-08,E,Southwest Region,11.0
Beautiful shiner,Cyprinella formosa,Wherever found,Fishes,1995-03-29,T,Southwest Region,31.0
Cahaba shiner,Notropis cahabae,Wherever found,Fishes,1992-04-23,E,Southeast Region,4.0
Palezone shiner,Notropis albizonatus,Wherever found,Fishes,1997-07-07,E,Southeast Region,11.0
Pecos bluntnose shiner,Notropis simus pecosensis,Wherever found,Fishes,1992-09-30,T,Southwest Region,23.0
Big Spring spinedace,Lepidomeda mollispinis pratensis,Wherever found,Fishes,1994-01-20,T,California/Nevada Region,26.0
Little Colorado spinedace,Lepidomeda vittata,Wherever found,Fishes,1998-01-09,T,Southwest Region,52.0
White River spinedace,Lepidomeda albivallis,Wherever found,Fishes,1994-03-28,E,California/Nevada Region,19.0
Hiko White River springfish,Crenichthys baileyi grandis,Wherever found,Fishes,1998-05-26,E,California/Nevada Region,8.0
Railroad Valley springfish,Crenichthys nevadae,Wherever found,Fishes,1997-03-15,T,California/Nevada Region,11.0
White River springfish,Crenichthys baileyi baileyi,Wherever found,Fishes,1998-05-26,E,California/Nevada Region,5.0
Desert tortoise,Gopherus agassizii,"Wherever found, except AZ south and east of Colorado R., and Mexico",Reptiles,2011-05-06,T,California/Nevada Region,34.0
June sucker,Chasmistes liorus,Wherever found,Fishes,1999-06-25,T,Mountain-Prairie Region,58.0
Lost River sucker,Deltistes luxatus,Wherever found,Fishes,2013-04-16,E,California/Nevada Region,39.0
Razorback sucker,Xyrauchen texanus,Wherever found,Fishes,2002-08-28,E,Mountain-Prairie Region,56.0
Shortnose Sucker,Chasmistes brevirostris,Wherever found,Fishes,2013-04-16,E,California/Nevada Region,36.0
Warner sucker,Catostomus warnerensis,Wherever found,Fishes,1998-04-27,T,Pacific Region,29.0
Steller's Eider,Polysticta stelleri,AK breeding pop.,Birds,2002-09-30,T,Alaska Region,21.0
