Common Name,Scientific Name,Area,Group,Recovery Document Date,Status,Region,Recovery Actions
Franciscan manzanita,Arctostaphylos franciscana,Wherever found,Flowering Plants,2019-10-15,E,California/Nevada Region,
loulu,Pritchardia hardyi,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Shinyrayed pocketbook,Hamiota subangulata,Wherever found,Clams,2019-06-27,E,Southeast Region,27.0
Alani,Melicope haupuensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,81.0
Haha,Cyanea eleeleensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
Akikiki,Oreomystis bairdi,Wherever found,Birds,2021-08-27,E,Pacific Region,147.0
Kauai cave wolf or pe'e pe'e maka 'ole spider,Adelocosa anops,Wherever found,Arachnids,2021-08-27,E,Pacific Region,67.0
Trispot darter,Etheostoma trisella,Wherever found,Fishes,2019-01-31,T,Southeast Region,
Newcomb's snail,Erinna newcombi,Wherever found,Snails,2021-08-27,T,Pacific Region,81.0
No common name,Polyscias racemosa,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,80.0
Ma`oli`oli,Schiedea hawaiiensis,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
No common name,Lysimachia scopulensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,76.0
Alani,Melicope puberula,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
Rough hornsnail,Pleurocera foremani,Wherever found,Snails,2014-11-06,E,Southeast Region,
No common name,Schiedea attenuata,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,79.0
No common name,Schiedea viscosa,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Umtanum desert buckwheat,Eriogonum codium,Wherever found,Flowering Plants,2021-08-31,T,Pacific Region,7.0
Kamakahala,Labordia lydgatei,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Louisiana pinesnake,Pituophis ruthveni,Wherever found,Reptiles,2018-05-07,T,Southeast Region,17.0
Kauai hau kuahiwi,Hibiscadelphus distans,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,77.0
No common name,Polyscias flynnii,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,82.0
Georgia pigtoe,Pleurobema hanleyianum,Wherever found,Clams,2014-11-06,E,Southeast Region,
Haha,Cyanea remyi,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,78.0
Ufa-halomtano,Heritiera longipetiolata,Wherever found,Flowering Plants,2020-02-03,E,Pacific Region,
Hawaiian picture-wing fly,Drosophila digressa,Wherever found,Insects,2019-10-31,E,Pacific Region,
nehe,Lipochaeta waimeaensis,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,81.0
Hoawa,Pittosporum hawaiiense,Wherever found,Flowering Plants,2019-10-31,E,Pacific Region,
Rusty patched bumble bee,Bombus affinis,Wherever found,Insects,2021-08-26,E,Great Lakes-Big Rivers Region,
Yellow lance,Elliptio lanceolata,Wherever found,Clams,2018-05-03,T,Southeast Region,
Neosho Mucket,Lampsilis rafinesqueana,Wherever found,Clams,2019-05-02,E,Southeast Region,36.0
Akikiki,Oreomystis bairdi,Wherever found,Birds,2006-09-22,E,Pacific Region,154.0
No common name,Schiedea helleri,Wherever found,Flowering Plants,2021-08-27,E,Pacific Region,74.0
Elfin-woods warbler,Setophaga angelae,Wherever found,Birds,2020-06-30,T,Southeast Region,
Streaked Horned lark,Eremophila alpestris strigata,Wherever found,Birds,2019-10-30,T,Pacific Region,
Mariana eight-spot butterfly,Hypolimnas octocula marianensis,Wherever found,Insects,2020-02-03,E,Pacific Region,
